evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,5.739195023660319e-06,0.009213650532533478,0.001389473684210526,5.789473684210532e-05,0.59565,0.475
2,0.00048291004410312195,0.10698964476468605,0.0013889330057744356,5.791741001156746e-05,0.5901459945795351,0.4823851062081156
3,2.827266895868177e-06,0.00017442469224801334,0.001389436070086001,5.7896313605022175e-05,0.59526716456466,0.47551367688333
4,2.8253593570227627e-06,0.0001525047682378489,0.0013894354636667062,5.7896348754436947e-05,0.5952719709959683,0.47552512767933697
5,2.81616392757952e-06,0.00030620621450245736,0.001389432604979683,5.7896537866856735e-05,0.5953210555340475,0.47558673563387294
6,2.7954152258109604e-06,0.0006713239699933822,0.0013894264563704968,5.7896979702902255e-05,0.5954663478297411,0.47573067365083677
7,2.74211074453205e-06,0.0012033056966927079,0.0013894104797226709,5.7898187560545085e-05,0.5959119233221478,0.47612415480475395
8,2.5994556422177032e-06,0.0021764026069209697,0.0013893652993729072,5.7901698793811254e-05,0.5972801243254386,0.4772679550055447
9,2.31849255195356e-06,0.0031864204271017478,0.001389278048212071,5.7908619895503515e-05,0.6000809661325743,0.47952233225633656
10,1.6960179858279091e-06,0.004198719990224371,0.0013890760046830375,5.79248668527401e-05,0.6068133694318156,0.4848133172511574
11,8.796442531188533e-07,0.00401238546673086,0.001388804766750627,5.7946954205535255e-05,0.6161578581884344,0.49200390615077444
12,1.6987263351596567e-07,0.0020887400312654416,0.0013885552557465527,5.796779178338619e-05,0.6251921863633506,0.4987851157989605
13,1.1854306730915065e-08,0.00047214836101288943,0.0013884852337699353,5.797389678249608e-05,0.6279701354949614,0.5007714147042182
14,1.4921742126762574e-09,5.522687220872411e-05,0.0013885023860935831,5.7972588751330206e-05,0.6274680602300687,0.5003458563489134
15,5.791961798904838e-10,2.0435759092883325e-06,0.001388515319789547,5.797154391472812e-05,0.6270340045978985,0.5000059195181957
16,5.227896280029992e-10,2.253807309634501e-06,0.0013885194488575472,5.797120391393119e-05,0.6268904270604824,0.49989529918427034
