evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.0006913685944352952,0.022544408258645916,0.00151578947368421,6.315789473684216e-05,0.5643,0.45
2,0.00026532773712577935,0.015003917735226838,0.0015205820809456078,6.315789519041778e-05,0.5868026832497275,0.4500001354530829
3,2.1236228376291254e-05,0.003960919824876992,0.0015304758330838967,6.31579596255416e-05,0.6315727640942009,0.4500193780356239
4,1.593972392662485e-06,0.00026896549492421497,0.0015284645953080385,6.316132522807224e-05,0.6223189738080623,0.45102443756426625
5,1.4814865783285509e-06,0.00013064446288211514,0.0015283638613233072,6.31625960059205e-05,0.621759171062862,0.45140391211375336
6,1.4199824744526414e-06,0.00013743478852097727,0.0015283678125636684,6.316443703685176e-05,0.6216189763934954,0.4519536597936209
7,1.1912698956567124e-06,0.00017929639779412507,0.001528516749287657,6.317390462000107e-05,0.621464971468153,0.45478050854764496
8,9.853125624184366e-07,7.954354323557148e-05,0.0015288305105520788,6.31861731424831e-05,0.6217435386609814,0.45844303689429217
9,8.930428464196357e-07,2.027686674240284e-05,0.0015291555461672977,6.319825657540818e-05,0.6219807974859337,0.46204961528072364
10,8.577011244291381e-07,3.823640825466202e-05,0.001529412171750527,6.320828473784052e-05,0.6220474213893399,0.4650422273358512
11,8.325752502483798e-07,1.8831171555611273e-05,0.00152975680937192,6.322064263888577e-05,0.6220028434035342,0.46872942872047885
12,8.205477951932917e-07,3.171952498768445e-06,0.0015301588243099074,6.323227520479372e-05,0.6219582934290716,0.47219955467917624
13,8.136195683436718e-07,3.410105204991891e-06,0.001530624571291404,6.324426270794031e-05,0.6219382374398109,0.47577489442081206
14,8.054170794241716e-07,1.770282591277552e-06,0.0015316153727501503,6.326533304895143e-05,0.6219327854954557,0.48205759816955
15,2.8281211026857924e-06,0.0010367231765068927,0.0015354067356205458,6.334261504274172e-05,0.6218599558556971,0.505083456605223
16,18000000000.0,25.455923527531503,0.0015327608974699983,6.32886932777017e-05,0.6219107617139621,0.48902064888038704
