cap,V_RHE,converged,c_h2o2_surf,c_h2o2_min_domain,c_h2o2_max_domain
50,-0.1,True,8.054765315492111e-05,8.046715149675701e-05,0.00010000000000000009
50,0.0,True,6.255064435934237e-07,6.245847097115566e-07,0.00010000000000000009
50,0.1,True,5.016100430605767e-09,5.0068094095214934e-09,0.00010000000000000009
50,0.15,True,4.763066749227256e-10,4.757460842202887e-10,0.00010000000000000009
50,0.2,True,5.412793662966796e-11,5.411424318782288e-11,0.00010000000000000009
60,-0.1,False,,,
60,0.0,False,,,
60,0.1,False,,,
60,0.15,False,,,
60,0.2,False,,,
70,-0.1,False,,,
70,0.0,False,,,
70,0.1,False,,,
70,0.15,False,,,
70,0.2,False,,,
80,-0.1,False,,,
80,0.0,False,,,
80,0.1,False,,,
80,0.15,False,,,
80,0.2,False,,,
100,-0.1,False,,,
100,0.0,False,,,
100,0.1,False,,,
100,0.15,False,,,
100,0.2,False,,,
none,-0.1,False,,,
none,0.0,False,,,
none,0.1,False,,,
none,0.15,False,,,
none,0.2,False,,,
