V_RHE,observable,param,adjoint,fd,rel_err,verdict
0.3,cd,log_k0_1,-3.762755036890331e-06,-1.881591662609061e-06,0.9997723797695843,FAIL
0.3,cd,log_k0_2,-5.265029120578087e-13,-1.7319217559190364e-05,0.9999999696000751,FAIL
0.3,cd,alpha_1,-0.00011130427341031117,-5.565854309503733e-05,0.9997697967095257,FAIL
0.3,cd,alpha_2,-5.2650290498196246e-11,2.8619955153897942e-08,1.0018396356743076,FAIL
0.3,pc,log_k0_1,-1.23670811191839e-12,-1.881591662607367e-06,0.9999993427329975,FAIL
0.3,pc,log_k0_2,5.246744737684135e-13,1.731921755918867e-05,0.999999969705648,FAIL
0.3,pc,alpha_1,-3.658247653810732e-11,-5.565854309505427e-05,0.9999993427338464,FAIL
0.3,pc,alpha_2,5.246744635426752e-11,-2.8620126796654374e-08,1.0018332359855373,FAIL
0.4,cd,log_k0_1,-1.1884844056125886e-11,-5.942649326730505e-12,3.849560322480356e-07,PASS-NEAR0
0.4,cd,log_k0_2,-1.1648903839149986e-09,-1.5436034849732386e-05,0.9999245343512596,FAIL
0.4,cd,alpha_1,-2.5904416577885337e-10,-1.2952712632931934e-10,0.9999221253487885,FAIL
0.4,cd,alpha_2,-1.1648903839134232e-07,-3.3173728458449326e-07,0.6488515346194901,FAIL
0.4,pc,log_k0_1,-4.528328190242668e-16,-5.942649326730505e-12,3.849561465594805e-07,PASS-NEAR0
0.4,pc,log_k0_2,1.164888974746147e-09,1.543603484973408e-05,0.9999245344425504,FAIL
0.4,pc,alpha_1,-9.870024317340944e-15,-1.2952712632931934e-10,0.9999237995576907,FAIL
0.4,pc,alpha_2,1.164888974744983e-07,3.317371438076174e-07,0.6488518103898154,FAIL
0.5,cd,log_k0_1,5.180787625621194e-11,2.8497122467763952e-11,4.9261695158239334e-08,PASS-NEAR0
0.5,cd,log_k0_2,-2.1553649628707337e-06,-1.1881630024612562e-05,0.8185968626858489,FAIL
0.5,cd,alpha_1,7.25923057970046e-10,3.992968539904933e-10,6.902462544607786e-07,PASS-NEAR0
0.5,cd,alpha_2,-0.00021475984654803186,-0.0004732024286531097,0.5461564997472449,FAIL
0.5,pc,log_k0_1,5.186245859192538e-12,2.8497121620731005e-11,4.9262307718060366e-08,PASS-NEAR0
0.5,pc,log_k0_2,2.1553183243083834e-06,1.1881630024613409e-05,0.8186007879521976,FAIL
0.5,pc,alpha_1,7.266878562770882e-11,3.9929683704983433e-10,6.90255129970512e-07,PASS-NEAR0
0.5,pc,alpha_2,0.00021475519949722341,0.00047319902053618814,0.5461630515340428,FAIL
0.6,cd,log_k0_1,2.264162915956655e-09,2.2641632933183547e-09,1.666671749030082e-07,PASS
0.6,cd,log_k0_2,-4.4018501779981455e-10,-4.4018509116445167e-10,1.6666770091450147e-07,PASS
0.6,cd,alpha_1,1.4100027395794178e-08,1.4100028307181403e-08,6.463726207989971e-08,PASS
0.6,cd,alpha_2,-4.043333467976323e-08,-4.043390326914727e-08,1.4062193804325122e-05,PASS
0.6,pc,log_k0_1,2.264162915956655e-09,2.2641632933183547e-09,1.666671749030082e-07,PASS
0.6,pc,log_k0_2,4.4018501779981455e-10,4.4018509116496866e-10,1.666688753927086e-07,PASS
0.6,pc,alpha_1,1.4100027395794178e-08,1.4100028307178301e-08,6.463704208551183e-08,PASS
0.6,pc,alpha_2,4.043333467976323e-08,4.0433903269145204e-08,1.406219375326367e-05,PASS
