cap,V_RHE,converged,c_h2o2_surf,c_h2o2_min_domain,c_h2o2_max_domain
50,-0.5,False,,,
50,-0.3,False,,,
50,-0.2,True,0.010220112845229888,0.00010000000000000009,0.01022496757338002
50,-0.1,True,8.054765315492301e-05,8.046715149676072e-05,0.00010000000000000009
50,0.0,True,6.25506443593423e-07,6.245847097115532e-07,0.00010000000000000009
50,0.1,True,5.016100430605604e-09,5.0068094095213685e-09,0.00010000000000000009
50,0.15,True,4.763066749228751e-10,4.757460842204408e-10,0.00010000000000000009
50,0.2,True,5.4127936629667714e-11,5.4114243187822494e-11,0.00010000000000000009
50,0.25,True,6.07477087301542e-12,6.072929223298865e-12,0.00010000000000000009
50,0.3,True,4.824514279333439e-12,4.7004074790457314e-12,0.00010000000000000009
50,0.4,True,1.0333811757608884e-08,1.0163615498025236e-08,0.00010000000000000009
50,0.5,True,2.290501170110877e-05,2.2900920607668417e-05,0.00010000000000000009
50,0.6,True,9.977826588344371e-05,9.975383961896518e-05,0.00010000000000000009
