V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method
-0.5000,-1.84102705e-01,-1.81308031e-01,1.0000,warm<--15.569
-0.4000,-1.83054117e-01,-1.63910469e-01,1.0000,warm<--11.677
-0.3000,-1.81722256e-01,-6.50390857e-02,1.0000,warm<--7.784
-0.2000,-1.80172015e-01,-1.56735262e-03,1.0000,cold
-0.1000,-1.78018980e-01,2.90764809e-06,1.0000,cold
0.0000,-1.73785689e-01,1.52883107e-05,1.0000,cold
0.0500,-1.69853271e-01,1.53777623e-05,1.0000,cold
0.1000,-1.63071608e-01,1.53876369e-05,1.0000,cold
0.2000,-7.86070410e-02,1.54138334e-05,1.0000,cold
0.3000,-1.92007983e-05,1.54376229e-05,1.0000,cold
0.4000,-1.54357258e-05,1.54357140e-05,1.0000,cold
0.5000,-1.18238217e-05,1.18238785e-05,1.0000,cold
0.6000,1.81780799e-09,2.69519907e-09,1.0000,cold
