V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method,initializer_fallback,initializer_picard_iters,initializer_fallback_reason
-0.7000,-1.86720366e-01,1.55091219e-05,1.0000,warm<--23.353,True,,
-0.6000,-1.85851387e-01,1.55087981e-05,1.0000,warm<--19.461,True,,
-0.5000,-1.84918631e-01,1.55084492e-05,1.0000,warm<--15.569,True,,
-0.4000,-1.83895158e-01,1.55080645e-05,1.0000,warm<--11.677,True,,
-0.3000,-1.82727136e-01,1.55076234e-05,1.0000,warm<--7.784,True,,
-0.2000,-1.81280174e-01,1.55070737e-05,1.0000,warm<--3.892,True,,
-0.1000,-1.79141153e-01,1.55062554e-05,1.0000,warm<-+0.000,True,,
0.0000,-1.75184995e-01,1.55047276e-05,1.0000,warm<-+1.946,True,,
0.0500,-1.72058564e-01,1.55035082e-05,1.0000,warm<-+3.892,True,,
0.1000,-1.68138251e-01,1.55019650e-05,1.0000,warm<-+7.784,True,,
0.2000,-1.57173750e-01,1.54976039e-05,1.0000,warm<-+11.677,True,,
0.3000,-1.16430910e-01,1.54816665e-05,1.0000,warm<-+15.569,True,,
0.4000,-1.83922350e-03,1.54370590e-05,1.0000,cold,False,,
0.5000,-1.54903324e-05,1.54331371e-05,1.0000,cold,False,,
0.6000,-1.54169795e-05,1.54169788e-05,1.0000,cold,False,,
0.7000,-1.38058159e-06,1.38058160e-06,1.0000,warm<-+23.353,False,,
0.8000,-1.05326898e-11,1.05341427e-11,1.0000,cold,False,,
0.9000,2.74388141e-16,3.65128230e-16,1.0000,warm<-+31.137,False,,
1.0000,1.16861202e-16,1.16861465e-16,1.0000,warm<-+35.030,False,,
