V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method,initializer_fallback,initializer_picard_iters,initializer_fallback_reason
0.2000,-1.57173750e-01,1.54940232e-05,1.0000,cold,True,,
0.3000,-1.16430899e-01,1.54814237e-05,1.0000,cold,True,,
0.4000,,,0.0000,cold-failed,True,,
0.5000,-1.56049414e-05,1.55477466e-05,1.0000,cold,False,,
0.6000,-1.32071306e-05,1.32071299e-05,1.0000,cold,False,,
0.6800,-4.77132785e-08,4.77132816e-08,1.0000,warm<-+23.353,False,,
0.7000,-6.91729174e-09,6.91729459e-09,1.0000,warm<-+26.467,False,,
0.7500,-4.80949697e-11,4.80970886e-11,1.0000,warm<-+27.245,False,,
0.8000,-2.86524846e-13,2.88014386e-13,1.0000,warm<-+29.191,False,,
0.9000,3.12991123e-16,3.26682766e-16,1.0000,warm<-+31.137,False,,
1.0000,1.16861670e-16,1.16861875e-16,1.0000,warm<-+35.030,False,,
1.1000,3.72879428e-17,3.72879428e-17,1.0000,warm<-+38.922,False,,
1.2000,1.12192858e-17,1.12192858e-17,1.0000,warm<-+42.814,False,,
1.3000,3.23022897e-17,3.23022897e-17,1.0000,warm<-+46.706,False,,
1.4000,9.02797181e-17,9.02797181e-17,1.0000,warm<-+50.598,False,,
1.5000,9.72492115e-17,9.72492115e-17,1.0000,warm<-+54.490,False,,
1.6000,4.30900364e-16,4.30900364e-16,1.0000,warm<-+58.383,False,,
1.7000,2.77908868e-16,2.77908868e-16,1.0000,warm<-+62.275,False,,
1.8000,4.09883105e-15,4.09883105e-15,1.0000,warm<-+66.167,False,,
1.9000,2.41694752e-15,2.41694752e-15,1.0000,warm<-+70.059,False,,
2.0000,1.26632455e-15,1.26632455e-15,1.0000,warm<-+73.951,False,,
