phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002471174173561082,-0.004405675882955839,-0.002950451599463734,-0.004394695247669955
-2,-0.04050207519264529,-0.04085821178228521,-0.0398027219771305,-0.04000810057214754
-3,-0.09800462749206122,-0.09655872547547784,-0.09450886666502292,-0.09123589638076823
-4,-0.1325785096387847,-0.1354855553420247,-0.120647158718773,-0.1233069752250998
-5,-0.1573109338782918,-0.1576142425064962,-0.1412755317045104,-0.1394425964624428
-6.5,-0.1728606401049697,-0.1726234292639327,-0.1475850167937359,-0.1506871463122307
-8,-0.1773066029381672,-0.1779434022159549,-0.1598367319579946,-0.1571470395835945
-10,-0.1848407517819124,-0.1804413725508651,-0.1613957522676022,-0.1634861921799609
-11.5,-0.1777108221167215,-0.1813575479383147,-0.1707996268925194,-0.167229779844384
-13,-0.1839499769556081,-0.1820042628485221,-0.1681679800299888,-0.170295981983085
