evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,2000000000.000153,2.828444878848015,0.0009364081938260787,5.414367787351547e-05,0.680649072207329,0.5295696665176028
2,2000000000.032404,3.153623042599639,0.0009269560723972354,5.4125063610488324e-05,0.05,0.05
3,2000000000.0006144,2.823867887259515,0.0009343759037654686,5.4139691009153134e-05,0.5455928177999947,0.4268677269737217
4,2000000000.000165,2.8275735720105564,0.0009359784512278704,5.414283551929511e-05,0.6521148929895915,0.5078711856748289
5,2000000000.0001526,2.828265034024395,0.000936317359523196,5.4143499857000816e-05,0.674618920227094,0.5249841083971574
6,2000000000.0001528,2.828407112785453,0.0009363890224065538,5.414364030287297e-05,0.6793764015757182,0.5286018791104921
7,2000000000.000153,2.8284369167706345,0.0009364041476604606,5.4143669944219654e-05,0.6803804747486139,0.5293654147405367
8,2000000000.0001533,2.828443198954795,0.0009364073399449032,5.414367620016198e-05,0.6805923889312053,0.5295265623872303
9,2000000000.000153,2.828444524442793,0.0009364080136735351,5.414367752047015e-05,0.6806371131280001,0.529560572376442
10,2000000000.0001533,2.8284436496340923,0.0009364075690125837,5.4143676649066774e-05,0.6806075951581155,0.5295381257835623
11,2000000000.000153,2.828444340155682,0.0009364079199990118,5.4143677336895895e-05,0.6806308947244555,0.5295558436646345
12,2000000000.000153,2.8284438844172795,0.0009364076883479544,5.414367688292864e-05,0.6806155170106711,0.5295441498631268
13,2000000000.000153,2.8284437294575286,0.0009364076095866079,5.41436767285798e-05,0.6806102885879844,0.5295401739706143
14,2000000000.000153,2.828443852235651,0.0009364076719928435,5.4143676850877524e-05,0.6806144313077056,0.5295433242530815
