phi_applied,flux_noisy
5,-0.002948998097802081
3,-0.00109654543671664
1,0.003830896016493662
-0.5,-0.0005641082660529972
-1,-0.002471174173561082
-2,-0.04050207519264529
-3,-0.09800462749206122
-4,-0.1325785096387847
-5,-0.1573109338782918
-6.5,-0.1728606401049697
-8,-0.1773066029381672
-10,-0.1848407517819124
-11.5,-0.1777108221167215
-13,-0.1839499769556081
-15,-0.1796693288647802
-17,-0.1828315494721666
-20,-0.1794531836523786
-22,-0.186473802922439
-28,-0.1867798148103436
-35,-0.1862665169976171
-41,-0.1949919243398432
-46.5,-0.1869343221303809
