evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.008122387304030951,-0.009233468205962752,6.172503853188167e-07,1,9,0.0,0.0,1,,0.001541054847623338,9.597241208092712e-05
1,0,1,-2.0,-0.02789442154196056,-0.0445052870530222,0.00013796042651328572,1,9,0.0,0.0,1,,0.05458445051876181,0.01876306887342859
1,0,2,-3.0,-0.061296974539645534,-0.08972545299774164,0.0004040891937212191,1,9,0.0,0.0,1,,0.0802092320896581,0.08297413269490407
1,0,3,-4.0,-0.10806108394883196,-0.12494535588772222,0.00014253931945319812,1,9,0.0,0.0,1,,0.030211626284969997,0.06455083939247508
1,0,4,-5.0,-0.13548126398906657,-0.14807174253586206,7.926007501866218e-05,1,8,0.0,0.0,1,,0.012790445176242555,0.04347072114827108
1,0,5,-6.5,-0.15931503094253247,-0.16668883217553887,2.7186472311947894e-05,1,8,0.0,0.0,1,,0.0030216922342061,0.014575250342987045
1,0,6,-8.0,-0.1716718651389106,-0.17474296547849255,4.715828647895266e-06,1,8,0.0,0.0,1,,0.0005249406538217753,0.002647216909806085
1,0,7,-10.0,-0.17359786690865228,-0.17890787268086644,1.4098080650466482e-05,1,8,0.0,0.0,1,,0.00035260824639574525,0.0012515351171313272
1,0,8,-13.0,-0.18080749195004384,-0.18120387610219202,7.856019803688573e-08,1,7,0.0,0.0,1,,1.2955641256116125e-05,4.92849537364809e-06
1,0,9,-17.0,-0.1820896560953913,-0.18285050526228444,2.8944572738141957e-07,1,6,5.049716573399177e-08,9.233432268773711e-09,1,,1.5089347311441936e-05,-1.7787227684664367e-05
1,0,10,-22.0,-0.18910360027324252,-0.18434505652097205,1.1321869321134191e-05,1,6,8.451548201448686e-08,1.5580011308857777e-08,1,,-5.590099882609412e-05,0.00023720454351785044
1,0,11,-28.0,-0.18325624077139477,-0.18578082367161855,3.1867594100514412e-06,1,6,3.8241412369731956e-08,7.1045213601017565e-09,1,,1.694794190082739e-05,-0.0001354353396553205
1,0,12,-35.0,-0.18851263219399492,-0.187240237878393,8.094936471873628e-07,1,5,4.927867087105303e-07,9.226954603147597e-08,1,,-5.044179614750041e-06,4.8294533003286834e-05
1,0,13,-41.0,-0.1859119715816313,-0.18839271802499782,3.077051458140564e-06,1,5,1.970087272675082e-06,3.711500960457137e-07,1,,6.216330739033072e-06,-6.146163545336537e-05
1,0,14,-46.5,-0.18860935668510956,-0.18939374293633032,3.0763089555095e-07,1,5,1.8948402067413501e-06,3.5887155902525336e-07,1,,1.1659725455257794e-06,-1.161000052352606e-05
2,0,0,-1.0,-0.008122387304030951,-0.009198746289530534,5.792743328328695e-07,1,9,0.0,0.0,1,,0.001496280350650838,9.269084178232452e-05
2,0,1,-2.0,-0.02789442154196056,-0.04442511563686568,0.00013663192362966265,1,9,0.0,0.0,1,,0.05457037189162668,0.018698134882131356
2,0,2,-3.0,-0.061296974539645534,-0.08965600721510428,0.00040211736714387033,1,9,0.0,0.0,1,,0.08044043355438141,0.08296394150629668
2,0,3,-4.0,-0.10806108394883196,-0.12490072540210016,0.00014178676213731395,1,8,0.0,0.0,1,,0.03029897387571939,0.06454418503604888
2,0,4,-5.0,-0.13548126398906657,-0.14804600767245854,7.89363919146727e-05,1,8,0.0,0.0,1,,0.01283517985094418,0.04345959756880566
2,0,5,-6.5,-0.15931503094253247,-0.16667827986268377,2.7108717330059178e-05,1,8,0.0,0.0,1,,0.003034273937484067,0.014575578745854623
2,0,6,-8.0,-0.1716718651389106,-0.17473856589779665,4.7023267722812225e-06,1,7,0.0,0.0,1,,0.0005259540469732003,0.0026620593289285142
2,0,7,-10.0,-0.17359786690865228,-0.1789062035240214,1.4089218811026842e-05,1,6,3.350037877171325e-08,5.9934257834459714e-09,1,,0.00035068157272497827,0.001299280006436315
2,0,8,-13.0,-0.18080749195004384,-0.18120310659822925,7.825547492920251e-08,1,6,2.1633539119860683e-08,3.920064495233078e-09,1,,1.2742770580254724e-05,7.863117634095555e-06
2,0,9,-17.0,-0.1820896560953913,-0.18285002696560537,2.8908193013547895e-07,1,5,4.146623185705096e-07,7.582101613223813e-08,1,,1.4881301286112953e-05,-1.092922685963693e-05
2,0,10,-22.0,-0.18910360027324252,-0.18434478295610823,1.1323171128926618e-05,1,5,4.274447949187475e-07,7.879721794501471e-08,1,,-5.530420012425223e-05,0.00022845412307386886
2,0,11,-28.0,-0.18325624077139477,-0.1857807195449922,3.1864965391722795e-06,1,5,4.851645811589151e-07,9.013426871540275e-08,1,,1.670656950040772e-05,-0.00013214229441618308
2,0,12,-35.0,-0.18851263219399492,-0.1872401345729606,8.096250977683291e-07,1,5,5.221313775917415e-07,9.776400045069522e-08,1,,-5.080235223429398e-06,4.845980016762668e-05
2,0,13,-41.0,-0.1859119715816313,-0.1883928031337261,3.0772625949373095e-06,1,5,7.334932394176981e-07,1.3818484745353743e-07,1,,6.26086758785818e-06,-6.164002804638901e-05
2,0,14,-46.5,-0.18860935668510956,-0.18939366337093017,3.075684887103203e-07,1,5,9.652108734485705e-07,1.8280499969325348e-07,1,,1.175336238932886e-06,-1.1653760185018392e-05
3,1,0,-1.0,-0.008122387304030951,-0.0023749606720563365,1.6516456444965404e-05,1,9,0.0,0.0,1,,-0.012182465553904172,-0.00017535842560462527
3,1,1,-2.0,-0.02789442154196056,-0.02104997144022753,2.3423248597557832e-05,1,9,0.0,0.0,1,,-0.08159476346711846,-0.009387761504530292
3,1,2,-3.0,-0.061296974539645534,-0.06554656693237022,9.029517752152071e-06,1,9,0.0,0.0,1,,0.06408740454375657,0.025015325850938686
3,1,3,-4.0,-0.10806108394883196,-0.10858305089169316,1.3622474471992145e-07,1,8,0.0,0.0,1,,0.005451191556602939,0.0040439752683298314
3,1,4,-5.0,-0.13548126398906657,-0.13838951405898994,4.2289592346054615e-06,1,8,0.0,0.0,1,,0.017975513263296748,0.01911316580742419
3,1,5,-6.5,-0.15931503094253247,-0.16262942035858158,5.492588600611213e-06,1,7,0.0,0.0,1,,0.008519283085611758,0.011564271491822193
3,1,6,-8.0,-0.1716718651389106,-0.17304616845041568,9.443547960091827e-07,1,7,0.0,0.0,1,,0.0014782519982694344,0.002021532381602253
3,1,7,-10.0,-0.17359786690865228,-0.17828162441124715,1.0968792171550344e-05,1,6,2.483058100788635e-06,4.426847309280113e-07,1,,0.001886023592006314,0.0017194130279353302
3,1,8,-13.0,-0.18080749195004384,-0.18092643129114333,7.073283430521605e-09,1,6,2.001784514749413e-06,3.6217645346670047e-07,1,,2.2923977262723714e-05,-4.250539239894143e-07
3,1,9,-17.0,-0.1820896560953913,-0.1826771976085885,1.7260251486535624e-07,1,6,1.1393696715316477e-06,2.0813709578071382e-07,1,,7.666699017041173e-05,-5.285533664779563e-05
3,1,10,-22.0,-0.18910360027324252,-0.18424371603595996,1.1809237399891739e-05,1,5,9.86717675279016e-06,1.8179832500797577e-06,1,,-0.0004016660488685697,0.000563043495065768
