phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.002948938736325297
-2,-0.02789442154196056,-0.02360786759412183
-3,-0.06129697453964553,-0.06681926152427135
-4,-0.108061083948832,-0.1068385364387789
-5,-0.1354812639890666,-0.1349068416581491
-6.5,-0.1593150309425325,-0.1590978017703808
-8,-0.1716718651389106,-0.1707049271002556
-10,-0.1735978669086523,-0.1772869245248155
-13,-0.1808074919500438,-0.1806435220292363
-17,-0.1820896560953913,-0.1825439737433078
-22,-0.1891036002732425,-0.1841659371755499
-28,-0.1832562407713948,-0.1857222570723201
-35,-0.1885126321939949,-0.1872447962107632
-41,-0.1859119715816313,-0.188403950909567
-46.5,-0.1886093566851096,-0.1894010962829105
