phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.007483460916365476,-0.003091395037919506,0.001060649073003794,-0.003087640215276965
-2,-0.02731067792811635,-0.02363714407551977,-0.02145874608431169,-0.02342878003498622
-3,-0.06192220497036547,-0.06624747747482722,-0.0659568448718815,-0.06432981049884022
-4,-0.1079666903307231,-0.1062897881277245,-0.09962180675297472,-0.1000709464933436
-5,-0.1355576318871053,-0.1348826725979792,-0.123516153031586,-0.1224153195533724
-6.5,-0.1594981433550219,-0.1598240153350426,-0.1377145193184194,-0.137901444352332
-8,-0.1717302207076256,-0.1715431220761238,-0.1427989098651135,-0.1438468719358407
-10,-0.1741329113819234,-0.1777623935682294,-0.1491318453205951,-0.1480413930606091
-11.5,-0.1797507782306107,-0.1796827843526114,-0.1480183949925786,-0.1505373870785449
-13,-0.180369925053021,-0.1807974477149629,-0.1547720844454233,-0.1528245113063292
