phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.008122387304030951,-0.002978135196730869,0.001789441391470563,-0.002974067302267459
-2,-0.02789442154196056,-0.02338754059610677,-0.02120650451550158,-0.02315542467481456
-3,-0.06129697453964553,-0.06632399268894164,-0.06630909850490435,-0.0641913842005825
-4,-0.108061083948832,-0.1066652888077718,-0.09962922230957211,-0.09988744028761691
-5,-0.1354812639890666,-0.1353440296605085,-0.1239665943372014,-0.1220863128516705
-6.5,-0.1593150309425325,-0.1601818918866308,-0.138086524355128,-0.1376495737140378
-8,-0.1716718651389106,-0.1717491007271996,-0.143013443521855,-0.1440057314950797
-10,-0.1735978669086523,-0.1778514778834318,-0.1496549086463166,-0.1488417241591947
-13,-0.1808074919500438,-0.1808381835369241,-0.1504691013926993,-0.1544304657397308
-17,-0.1820896560953913,-0.1826562153751252,-0.1615512155975993,-0.1605405955538033
-22,-0.1891036002732425,-0.1842571312849685,-0.1699537719650254,-0.1664473313958865
-28,-0.1832562407713948,-0.1857707777744806,-0.1665185112849642,-0.1713994867495934
-35,-0.1885126321939949,-0.1872515510602063,-0.1751931610876536,-0.1747286034160969
-41,-0.1859119715816313,-0.1884024501072462,-0.1802174676274317,-0.1758510443416987
-46.5,-0.1886093566851096,-0.189399448806339,-0.1791820335287433,-0.1758861695867664
