evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.00013576738805023852,0.0027543973716921224,0.0013490383035250867,4.641989499977654e-05,0.6026923906176204,0.4839304747276925
2,0.00013003794927071455,0.001424221484982445,0.0013497057961934622,4.639724317301077e-05,0.6046100101691271,0.4819764140991677
3,0.00012771724172804433,0.00020719849843748995,0.0013497243118330018,4.638621077205524e-05,0.6065618753223302,0.47973376946909413
4,0.00012762892484331618,0.00015307635055609106,0.001348920008238844,4.640043763724976e-05,0.6067027181862507,0.47927123473027394
5,0.00012749652832085454,0.00021033660285529798,0.0013465842922310471,4.644533678913652e-05,0.6066365073459465,0.4784798857472165
6,0.00012720884922115205,0.00033362678216117633,0.0013397224735944666,4.6583576728079306e-05,0.6060372517072539,0.47662842985085563
7,0.00012684997187771609,0.00033211094966183397,0.0013287009907937619,4.682716504434637e-05,0.6047016147616902,0.4741277611972235
8,0.00012649817471328622,8.209941292844314e-05,0.00132005902158297,4.7334919659955365e-05,0.6039469469235399,0.47302355791293704
9,0.00012640286089613516,0.00011985292624401222,0.0013171998205843056,4.7682501870590904e-05,0.6039489409095409,0.4730116767601218
10,0.00012634876171643833,0.00018570885087260214,0.0013166598919252996,4.7925117105035277e-05,0.604282551226915,0.4732465952283227
11,0.0001261985082071811,0.00027951596471600005,0.0013162116166169717,4.868039096171638e-05,0.6056924037765149,0.4739963033850633
12,0.0001260422645483996,0.0002491077706197552,0.0013168077280333152,4.956697029858442e-05,0.6076161491922165,0.4747164646187128
13,0.00012591178223539585,8.49275157221968e-05,0.0013205073047244471,5.0316017854693795e-05,0.6084005576502902,0.4741166250224599
14,0.0001258750457886419,4.956248331099337e-05,0.0013243344489298943,5.053316554201841e-05,0.6082995685243204,0.4734728368337248
15,0.00012586253484824238,8.719728669691099e-05,0.001326435205548215,5.055109883334194e-05,0.6079444295801048,0.4730532800020233
16,0.00012582552655131523,0.0001606742581974083,0.0013332420470800403,5.06359253506632e-05,0.6065985090466867,0.47165975186475323
17,0.0001257490982292648,0.0002455192954243493,0.001347943165555349,5.094011864692606e-05,0.60354548903617,0.46861363372253195
18,0.00012558787474024744,0.00032669278980272366,0.0013807285687918917,5.183054034515345e-05,0.5966536165548283,0.46184212297418414
19,0.0001253559149373474,0.00032266919896675527,0.0014352719551135149,5.3593095990526034e-05,0.585084035721192,0.45057659887670337
20,0.00013626393684087104,0.00030367668116620586,0.0015440188458836442,7.275944161246429e-05,0.5924385895297046,0.44349506057170307
21,0.0001253386533409643,0.00032088366818886985,0.0014391566499729882,5.42029514900606e-05,0.5853562212563729,0.45031451740396755
22,0.00012522212143834907,0.00015924065902403185,0.0014881713860993462,5.6947822308776493e-05,0.5713902115567279,0.4355414168796388
23,0.0001251477199305686,0.0001180420558961147,0.0014718070488484798,5.5918245987722076e-05,0.5759888349529436,0.4409010554291754
24,0.00012512686425431152,3.499474677655109e-05,0.0014719430834239124,5.571780788486521e-05,0.5763244497938284,0.44183965833624267
25,0.00012512616786812466,3.081646979316068e-06,0.001473362251265767,5.577274296385327e-05,0.5759765971199539,0.44160799926339017
