phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.007483460916365476,-0.002933054146658846,0.001060649073003794,-0.002929410937725006
-2,-0.02731067792811635,-0.02326694567431162,-0.02145874608431169,-0.02305145705598833
-3,-0.06192220497036547,-0.0662904127871978,-0.0659568448718815,-0.06425645922307445
-4,-0.1079666903307231,-0.1067285308233572,-0.09962180675297472,-0.1001334305073675
-5,-0.1355576318871053,-0.1354524889948515,-0.123516153031586,-0.1223385596217561
-6.5,-0.1594981433550219,-0.1603001413275924,-0.1377145193184194,-0.1376130772808104
-8,-0.1717302207076256,-0.1718396057103924,-0.1427989098651135,-0.1435816944267799
-10,-0.1741329113819234,-0.1778997089512523,-0.1491318453205951,-0.1479727605220822
-11.5,-0.1797507782306107,-0.1797677124354574,-0.1480183949925786,-0.150629811129941
-13,-0.180369925053021,-0.180860435379226,-0.1547720844454233,-0.1530642176728665
