evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,7.388803341512888e-05,0.00026749290040709966,0.0015713195469283755,8.22631021541732e-05,0.5766024019189142,0.4271744389427271
2,7.381853204923162e-05,0.00025101838678051185,0.0015717684522256186,8.224304001054511e-05,0.5768010920037759,0.42724836125194354
3,7.270801047683722e-05,0.00037487007071439123,0.0015828636407334768,8.173304897520868e-05,0.5809205743841653,0.4307019751767118
4,7.179953577525131e-05,0.00042867311600306595,0.0015934690463523455,8.119093997595924e-05,0.5842734766156901,0.43554641529178273
5,7.027754203715524e-05,0.00012545582820247173,0.0016062543909389974,7.960316085860757e-05,0.5895087156118686,0.4469749861132439
6,6.993861973000345e-05,0.0001706818163002305,0.001605802222875689,7.88317769220715e-05,0.5910983087690267,0.45034377279627297
7,6.866725739992131e-05,0.0004008511310009022,0.0015936622426518173,7.563124952261078e-05,0.5964553053381229,0.4611571144313075
8,6.62222657761799e-05,0.0006865394481284313,0.0015563306815250017,6.943060709853146e-05,0.6058424156112638,0.47903124524966834
9,6.09954165264733e-05,0.0009804434815146351,0.0014572158005257423,5.708560024315347e-05,0.6251732887901251,0.5137375768575775
10,5.413285639929961e-05,0.0008820773391891816,0.001307551575550618,4.327805518406854e-05,0.6508705099527625,0.5559845643169914
11,4.82531514375236e-05,0.0002991955650533971,0.001136715260757068,3.5072250842991376e-05,0.6833693648141796,0.5919661321604117
12,4.6547757300398064e-05,9.747272071272616e-05,0.0010517994522338968,3.3015268547834925e-05,0.6981499148601449,0.6023984488548931
13,4.626729427498305e-05,0.00015313667183213832,0.0010384277230307548,3.361491124607149e-05,0.7002055672766893,0.600830972892966
14,4.5941291183999506e-05,0.00027922711980000927,0.001022408747031532,3.467462119616616e-05,0.7057963814037219,0.6009881341011345
15,4.564164020557827e-05,8.506694966374071e-05,0.0009904895815130933,3.584495361032221e-05,0.7136468302819394,0.6035898260349989
16,4.535379917378509e-05,0.00010410514630620319,0.0009764850612337229,3.554254388598272e-05,0.7213039594756498,0.610558924738595
17,4.517187178750229e-05,2.622061838312844e-05,0.0009528654257947956,3.4228200223704246e-05,0.7317243970297868,0.6231123362047998
18,4.516985679284318e-05,2.143239173983238e-06,0.0009500683988193553,3.421797403576158e-05,0.7326517028863673,0.6239219206205361
