phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.001875171768534712,-0.002324600539806857,-0.002146563133649201,-0.002321868182818107
-2,-0.02628986224152219,-0.02197980870703241,-0.0209332030310102,-0.02175277336969018
-3,-0.06414669005959994,-0.06724684578063474,-0.06569466092892896,-0.06477326940039056
-4,-0.1043509975785944,-0.1094962341616751,-0.1020858537918033,-0.1012819257111395
-5,-0.1421866606281863,-0.1386428953791648,-0.1266058034093406,-0.1225393643293414
-6.5,-0.164886321565806,-0.162783923637061,-0.1330569957674289,-0.1361844079424798
-8,-0.1717579637282691,-0.1733268098783109,-0.1416108364384054,-0.1415868967174634
-10,-0.1790194185160751,-0.1785714328986837,-0.1457802290259818,-0.1460593360243176
-13,-0.1809695722419818,-0.1811730587667839,-0.154113911229586,-0.1515667483158063
-17,-0.1853669434129455,-0.182893202124198,-0.1548257988901986,-0.157754667399206
-22,-0.181558131709325,-0.184394560413361,-0.1617760538142868,-0.1639040887574031
-28,-0.1833626048613066,-0.1858084038510373,-0.1700527517399629,-0.169284684164021
-35,-0.1870459454389722,-0.1872541921259843,-0.175092373346151,-0.1732238497908118
-41,-0.1848927308188273,-0.1884009012216135,-0.1761080783685809,-0.174893527537467
-46.5,-0.1879433734841131,-0.1893980393476304,-0.1776812681220857,-0.1753392124995878
