evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.00013070313341081774,0.0015800657951531203,0.0013501419108818441,4.628802243235325e-05,0.6047527531581895,0.48280360967051617
2,0.00012876521753316957,0.0008803133537599951,0.0013503574064498824,4.627801746469861e-05,0.6058255583426663,0.48164945234597834
3,0.0001278087015410152,0.00016579405782897588,0.001349815900458234,4.628055480462344e-05,0.6070558891137384,0.4800291432318702
4,0.0001277371504414226,0.00016407785800648714,0.0013488751830530257,4.629762912583009e-05,0.607051296763918,0.4796826329545997
5,0.00012734639965702579,0.00030406367644126973,0.0013412053674113802,4.644364879124415e-05,0.6064576386150695,0.4775061526167116
6,0.0001269653025357157,0.00034358206532308455,0.0013304578086444066,4.666425817463212e-05,0.6051982549762028,0.47496690738112707
7,0.00012662094024588728,0.00013455686801885293,0.0013200509169841639,4.7055403479376235e-05,0.6039440542287473,0.47320774004474736
8,0.00012653824168849155,6.624527170072277e-05,0.0013168922952428782,4.7281254288942784e-05,0.6036380397644043,0.47297461321057166
9,0.0001265024271210662,0.0001279257258934886,0.0013164753166615766,4.7414379759400444e-05,0.6037390350141352,0.4731543620081409
10,0.00012642586312251475,0.00022674401588556836,0.0013162795277863698,4.773325314456516e-05,0.6042466965821739,0.4736134784830471
11,0.00012628794718565821,0.00031327957018258097,0.001316331294429676,4.8369927699619216e-05,0.6055049874609084,0.4743696477737334
12,0.00012609670943115214,0.0002940135759331874,0.0013167942068325036,4.935596954253052e-05,0.6076378926518269,0.47520321229564305
13,0.00012590196825979234,0.00010015368778682026,0.0013211999236340027,5.035386867149894e-05,0.6079024050078495,0.473639380401592
14,0.00012583981380891429,6.746582825119372e-05,0.0013275202348842353,5.0744191741501976e-05,0.6074724021496075,0.4724346863177
15,0.00012581830004569302,0.00011790414326580932,0.0013312469655474438,5.081702226547774e-05,0.6068453312967933,0.47170864801121504
16,0.00012575551422879796,0.00021028544606833447,0.0013430768383553898,5.106024439911376e-05,0.6045515980948135,0.4693408572433969
17,0.00012563917010170711,0.00029992316833195765,0.0013665883218111612,5.166198138667265e-05,0.5996949363825117,0.46451231213517763
18,0.00012543326247733144,0.0003425392702804894,0.0014124246053315564,5.304453717114471e-05,0.5900532913072367,0.45510788565330235
19,0.0001252200199465769,0.00023468045563075973,0.0014645956980914355,5.528833218920798e-05,0.5796332516230482,0.4446959479444806
20,0.0001251380007319848,6.757146670665491e-05,0.0014827677828684724,5.5885738171852444e-05,0.5747237643458026,0.4404433170795879
21,0.0001251272673095623,5.999536819414974e-06,0.0014778047535314368,5.586688136727965e-05,0.5753382716293636,0.4410933100104396
