phi_applied,flux_clean,flux_noisy
-1,-0.002819451201137672,-0.002146563133649201
-2,-0.02280168364757939,-0.0209332030310102
-3,-0.06408144171047786,-0.06569466092892896
-4,-0.09958232622819777,-0.1020858537918033
-5,-0.121117997357992,-0.1266058034093406
-6.5,-0.1357339594135733,-0.1330569957674289
-8,-0.1416567297415814,-0.1416108364384054
-10,-0.1463470490184126,-0.1457802290259818
-13,-0.1519549925578369,-0.154113911229586
-17,-0.1582049806277019,-0.1548257988901986
-22,-0.1643747095730307,-0.1617760538142868
-28,-0.1697171091007695,-0.1700527517399629
-35,-0.1735608880924956,-0.175092373346151
-41,-0.175125341354615,-0.1761080783685809
-46.5,-0.1754809377639227,-0.1776812681220857
