phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002823517842217851,-0.002823517842217851,1,10,5,4.165391994694513e-06,1.176110760647484e-08,0.0153908854124661;1.106198776846551e-05,
-2,-0.02305320466840268,-0.02305320466840268,1,11,5.5,5.309380993444959e-06,1.223988965667888e-07,0.1250667756833507;0.0006856599487471122,
-3,-0.06648225800875268,-0.06648225800875268,1,11,5.5,2.956898632327348e-06,1.96581879052804e-07,0.3561055733098121;0.00654708132874421,
-4,-0.1072782403066796,-0.1072782403066796,1,10,5,2.324908583146672e-06,2.494126815355546e-07,0.5642019515156406;0.02098783892511635,
-5,-0.1361146131989165,-0.1361146131989165,1,9,4.5,1.804641744879684e-06,2.456385563565089e-07,0.7015895470665808;0.04089916029935396,
-6.5,-0.1608336546671907,-0.1608336546671907,1,9,4.5,6.144128695070908e-07,9.881832799263357e-08,0.8088715543059309;0.06845652640694962,
-8,-0.1721558309712194,-0.1721558309712194,1,8,4,4.346930936994293e-07,7.483498329352578e-08,0.855906002221394;0.08318317710521285,
-10,-0.1780352025311289,-0.1780352025311289,1,8,4,6.378869551610174e-08,1.135663404983056e-08,0.8847340672092505;0.08642637094143139,
-13,-0.1809172833720393,-0.1809172833720393,1,7,3.5,2.543366401649087e-07,4.601389400060718e-08,0.9078934661700866;0.07898837343632607,
-17,-0.1827120844859513,-0.1827120844859513,1,7,3.5,4.262082570050205e-07,7.787339906251134e-08,0.9298353842713154;0.06683687774257202,
-22,-0.1842950101847231,-0.1842950101847231,1,7,3.5,3.995829352932451e-07,7.364114112951015e-08,0.9509796139574082;0.05432731577007578,
-28,-0.1857832631608049,-0.1857832631608049,1,7,3.5,2.82417342706499e-07,5.246841550121673e-08,0.9696083812014119;0.04381678801906203,
-35,-0.1872514473846629,-0.1872514473846629,1,7,3.5,1.752419487619236e-07,3.281430854817913e-08,0.9840948395237725;0.03733909658019777,
-41,-0.1884009515381368,-0.1884009515381368,1,7,3.5,2.888205409394953e-08,5.441406630835033e-09,0.9914961554511381;0.03620818640109195,
-46.5,-0.189398364617174,-0.189398364617174,1,7,3.5,9.781708899065858e-08,1.852639849864168e-08,0.9951860607347686;0.03795904849988745,
