phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
5,-0.002948998097802081,nan,-0.0008345123867510431,nan
3,-0.00109654543671664,-7.841179285309843e-09,-0.001605792180865258,-7.841178533459293e-09
1,0.003830896016493662,-6.049027281582694e-06,-0.003091823945419353,-6.048989896002288e-06
-0.5,-0.0005641082660529972,-0.0008945244401716214,-0.004432607077403046,-0.0008940058806887382
-1,-0.002471174173561082,-0.00435831868610378,-0.002950451599463734,-0.004347545978688951
-2,-0.04050207519264529,-0.04045806023146299,-0.0398027219771305,-0.03962174436411811
-3,-0.09800462749206122,-0.0960390320258679,-0.09450886666502292,-0.0907557035664435
-4,-0.1325785096387847,-0.1350720147043126,-0.120647158718773,-0.1229184580074788
-5,-0.1573109338782918,-0.1573387871179615,-0.1412755317045104,-0.1391326546219577
-6.5,-0.1728606401049697,-0.1724973504009119,-0.1475850167937359,-0.1504156885244932
-8,-0.1773066029381672,-0.1778889391819466,-0.1598367319579946,-0.1568788283180869
-10,-0.1848407517819124,-0.1804195419493692,-0.1613957522676022,-0.1632254977010488
-11.5,-0.1777108221167215,-0.1813449388416224,-0.1707996268925194,-0.1669824087153172
-13,-0.1839499769556081,-0.1819973533711539,-0.1681679800299888,-0.1700665845586695
-15,-0.1796693288647802,-0.1826739205457096,-0.1687455033506974,-0.1733183263457493
-17,-0.1828315494721666,-0.1832492698652574,-0.1742622138390196,-0.1757723524179044
-20,-0.1794531836523786,-0.184026956199025,-0.1789050598892536,-0.1782788607245985
-22,-0.186473802922439,-0.1845108445412316,-0.1753757866182431,-0.1793018512449156
-28,-0.1867798148103436,-0.1858518625339996,-0.1767598894594152,-0.1799777396837088
-35,-0.1862665169976171,-0.1872738077995571,-0.1774658693527574,-0.1788582612567028
-41,-0.1949919243398432,-0.1884105488289514,-0.1741851443574048,-0.1777296962877253
-46.5,-0.1869343221303809,-0.1894027250811494,-0.1767044958639797,-0.1767249248933295
