phi_applied,flux_noisy
5,-0.001141136483747886
3,0.001699391390649678
1,0.001416470861419649
-0.5,0.006782875915001402
-1,-0.00577034059917245
-2,-0.04404838508234135
-3,-0.096316915804582
-4,-0.1291080201603779
-5,-0.1535268195813966
-6.5,-0.1740483836654542
-8,-0.1772741019524449
-10,-0.1757277909668494
-11.5,-0.1822277586437279
-13,-0.1802902349427793
-15,-0.1810936684432379
-17,-0.1876255595552562
-20,-0.1830705027886087
-22,-0.1842926944225618
-28,-0.1848434453565268
-35,-0.191391009994463
-41,-0.1861803925654054
-46.5,-0.1900497260303669
