phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.003121415301800315
-2,-0.02789442154196056,-0.02372447080122381
-3,-0.06129697453964553,-0.06629067136669634
-4,-0.108061083948832,-0.1062736480461151
-5,-0.1354812639890666,-0.1348394182116303
-6.5,-0.1593150309425325,-0.1597778003801948
-8,-0.1716718651389106,-0.1715096949510007
-10,-0.1735978669086523,-0.177744739810797
-13,-0.1808074919500438,-0.1807887212129469
-17,-0.1820896560953913,-0.1826180045105798
-22,-0.1891036002732425,-0.1842268752366771
-28,-0.1832562407713948,-0.1857529745090606
-35,-0.1885126321939949,-0.1872423794465258
-41,-0.1859119715816313,-0.1883967966196878
-46.5,-0.1886093566851096,-0.1893960218191518
