evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.0031214148243060495,1.2504862871482803e-05,1,9,0.0,0.0,1,,-0.0095253946450506,-0.0001884625860394178,-1.4219603698831497e-05,-9.004362783871292e-09
1,0,1,-2.0,-0.02789442154196056,-0.023724470900851495,8.69424417464367e-06,1,10,0.0,0.0,1,,-0.03705641671782159,-0.0059356811719479645,-0.00011063637358058844,-5.671897830207537e-07
1,0,2,-3.0,-0.061296974539645534,-0.0662906717049526,1.246850568939829e-05,1,9,0.0,0.0,1,,0.05507164757210002,0.03806857977625633,0.00024663450682031605,5.456520206622809e-06
1,0,3,-4.0,-0.10806108394883196,-0.10627364838702603,1.5974629438042812e-06,1,9,0.0,0.0,1,,-0.014538312785926127,-0.02937151736702801,-8.681175068077251e-05,-5.613247773861721e-06
1,0,4,-5.0,-0.13548126398906657,-0.13483941649434356,2.0598410324092627e-07,1,8,0.0,0.0,1,,-0.003272895336250167,-0.014750594947737684,-2.4429053264167365e-05,-3.5237685892623146e-06
1,0,5,-6.5,-0.15931503094253247,-0.15977780023112548,1.0707770723272395e-07,1,8,0.0,0.0,1,,0.0009860593818460939,0.010052778970523488,9.567995029396257e-06,3.1219599592847742e-06
1,0,6,-8.0,-0.1716718651389106,-0.17150969256427842,1.3149971981146732e-08,1,8,0.0,0.0,1,,-0.00014261946019682368,-0.002081349479815618,-1.7032299694113019e-06,-7.955414892741349e-07
1,0,7,-10.0,-0.17359786690865228,-0.1777447374481775,8.598267635785368e-06,1,8,0.0,0.0,1,,0.0012593023666125766,0.019333183242179825,1.879899075838854e-05,9.237005569011745e-06
1,0,8,-13.0,-0.18080749195004384,-0.18078871622795295,1.762638700280311e-10,1,7,0.0,0.0,1,,-2.1225547179104806e-06,-1.2193656739490203e-05,-4.119141983634405e-08,-7.573648681538263e-09
1,0,9,-17.0,-0.1820896560953913,-0.18261800824183155,1.395779953243075e-07,1,7,0.0,0.0,1,,3.723501853613053e-05,0.00015467881658624337,9.449416910839739e-07,1.2563411947944043e-07
1,0,10,-22.0,-0.18910360027324252,-0.18422687854234157,1.1891207420318755e-05,1,6,2.6230067665771065e-08,4.832283490019407e-09,1,,-0.00020663475137656576,-0.0005834565432416672,-6.786260985329234e-06,-6.132803272857321e-07
1,0,11,-28.0,-0.18325624077139477,-0.1857529775742761,3.116847331431355e-06,1,6,6.421018160619706e-08,1.1927232423936118e-08,1,,5.434237505243891e-05,-0.0003544881358891813,2.2714394364352685e-06,-4.742284167151702e-07
1,0,12,-35.0,-0.18851263219399492,-0.18724237853547776,8.067721784874405e-07,1,6,0.0,0.0,1,,-1.3676855432970101e-05,0.00029951885844267065,-7.145930953260881e-07,5.008642731414105e-07
1,0,13,-41.0,-0.1859119715816313,-0.18839680302390768,3.087193648265404e-06,1,5,1.946901854399881e-07,3.667901565806986e-08,1,,1.538250479026155e-05,-0.0004265787728042886,9.414893909070239e-07,-8.356240587848707e-07
1,0,14,-46.5,-0.18860935668510956,-0.1893960031107328,3.09406299471769e-07,1,5,2.2661048029471258e-07,4.2919119230822034e-08,1,,2.889585348755823e-06,-8.598935665462237e-05,2.0058247894942817e-07,-1.9104051965999894e-07
2,0,0,-1.0,-0.008122387304030951,-0.0031214853390172507,1.2504510231838836e-05,1,9,0.0,0.0,1,,-0.009524978368573682,-0.0001884248067798284,-1.4219807351208266e-05,-9.00252557028811e-09
2,0,1,-2.0,-0.02789442154196056,-0.02372433442709571,8.694813272781647e-06,1,9,0.0,0.0,1,,-0.03712302025638401,-0.005936146761617736,-0.00011084165777897306,-5.672322442436235e-07
2,0,2,-3.0,-0.061296974539645534,-0.06628993615923318,1.2464832867337972e-05,1,9,0.0,0.0,1,,0.05506364189747914,0.038066031932764616,0.0002466129631605632,5.45613550079761e-06
2,0,3,-4.0,-0.10806108394883196,-0.1062726701954897,1.5992118765719357e-06,1,9,0.0,0.0,1,,-0.014549179446375746,-0.029395008776820265,-8.6881679239594e-05,-5.6177171716329955e-06
2,0,4,-5.0,-0.13548126398906657,-0.13483852416382525,2.0655724147544482e-07,1,8,0.0,0.0,1,,-0.003277371850028617,-0.014772181658280113,-2.446388565009352e-05,-3.5289128162142914e-06
2,0,5,-6.5,-0.15931503094253247,-0.15977722213545262,1.0681034940675915e-07,1,8,0.0,0.0,1,,0.0009851728414690042,0.010039303216072376,9.559947389181497e-06,3.1177638202656135e-06
