evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1,J_cond_0,J_cond_1,J_cond_2
1,0.00027608692773314317,0.00046936811295346566,0.0014731253467263755,5.5801192799662814e-05,0.5758607072471348,0.44145962958236773,2.0168149999576237e-05,0.0001358543074922785,0.00012006447024128842
2,0.00027587042674566924,0.0004573342851122052,0.0014735852075995549,5.581110148792878e-05,0.576191072299726,0.44175432446206575,2.0176133657765978e-05,0.00013564251173201942,0.00012005178135588384
3,0.0002703984741605122,0.0001628077024247689,0.0014797455946769626,5.6339776691789365e-05,0.5883456822618642,0.4599233780886772,2.0691043884338247e-05,0.00012857649260991473,0.00012113093766625921
4,0.00026939711029567407,0.00014020696150663747,0.0014686599481176406,5.6495349631393634e-05,0.5895975606666968,0.46856753150436486,2.0729581638676375e-05,0.0001275689170000677,0.00012109861165693
5,0.000268243061708598,4.472013425222102e-05,0.0014309010112180233,5.624641038712451e-05,0.5905832163529344,0.48338949678228454,2.072092916092448e-05,0.0001269497628786925,0.00012057236966898102
6,0.0002679811225068392,4.7364946475516006e-05,0.0014135458434839884,5.569804334558615e-05,0.5931127717445189,0.4869210282465334,2.0820083394274238e-05,0.00012639631074040438,0.00012076472837216057
7,0.0002669164117370972,8.57021481601558e-05,0.00133648788300439,5.2461463535586154e-05,0.6081665956580595,0.49828849144010573,2.1445427229562514e-05,0.00012341731749940103,0.00012205366700813364
8,0.00026556355390136885,0.00010333076810980894,0.0012393841559653995,4.724886659961505e-05,0.6319525002430499,0.509304354015887,2.251095132073007e-05,0.00011920742133978222,0.00012384518124085656
9,0.0002632288778584595,8.215010839116821e-05,0.001142768642911133,3.7702956722092167e-05,0.6613080281121602,0.533247935924759,2.3951876016385623e-05,0.0001143093041717087,0.00012496769767036516
10,0.00025898175468173874,6.521108557775431e-05,0.0010279340353893487,2.1442056242176104e-05,0.7018593217593355,0.6008548292011198,2.623294442599708e-05,0.00010843897182041457,0.0001243098384353271
11,0.00025445159094611425,9.711461297630153e-05,0.0009955802463914865,1.0970262260296989e-05,0.7204350486248189,0.6950015036536257,2.7447401799321892e-05,0.00010566384717529414,0.0001213403419714982
12,0.0002491365301604584,9.985781929003576e-05,0.001050928278110626,4.701948556562938e-06,0.708321380746772,0.8240198619871755,2.6688802335747783e-05,0.00010870479391352179,0.00011374293391118883
13,0.00025150309735547306,0.00022594074775145797,0.001182949913302543,1.7436692099574288e-06,0.6800625320439804,0.95,2.5174167194860184e-05,0.00011492487727853387,0.00011140405288207898
14,0.00024834533758300525,0.00013996778308459045,0.001092668267823714,3.392208995280066e-06,0.6990204452388035,0.865484153447376,2.613693250367903e-05,0.00011074459897131192,0.00011146380610801432
15,0.0002472194170849201,0.00020723991173590142,0.0011588703909862696,2.3054946158438085e-06,0.6862293988810876,0.95,2.5541872189055393e-05,0.00011251028164032307,0.00010916726325554167
16,0.00024667383772029557,0.0001367071694848205,0.0011538169297987035,2.9001812966296594e-06,0.6724934884709562,0.9190423372438978,2.4313283649134328e-05,0.00011526253565351672,0.00010709801841764451
17,0.0002463117616966808,5.30027626326246e-06,0.0011494390455788824,2.958490205553765e-06,0.6792440147052364,0.9127072743276462,2.4821116623150043e-05,0.00011364627691395283,0.00010784436815957793
