phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
5,nan,nan,0,1,0.5,,,-0.0320621806608096;4.104249931194939e-17,"ConvergenceError: Nonlinear solve failed to converge after 22 nonlinear iterations.
Reason:
   DIVERGED_DTOL"
3,0.002806055247905613,-0.0009641367069719142,1,5,2.5,5.679638746354441e-08,1.59373810156016e-10,-0.01530669106608034;3.135301289030539e-19,
1,0.001261960180011691,0.005300100699136993,1,6,3,4.531500268294339e-06,5.71857289429975e-09,-0.006883839734642299;4.236812613415348e-17,
-0.5,-0.002434045236006343,-0.003043699973370108,1,10,5,5.637689590942342e-06,1.372246885393558e-08,0.0132514545243147;2.596704328335571e-05,
-1,-0.009233506277518202,-0.008740273241698985,1,10,5,6.407679773735076e-06,5.916573053016405e-08,0.05007443360254488;0.0002932233251560072,
-2,-0.04450535977354806,-0.0433227019627682,1,11,5.5,3.387598801620328e-06,1.50766814172032e-07,0.2361658149176417;0.006605525150205034,
-3,-0.08972557723258287,-0.08934867941224929,1,10,5,3.10208978533782e-06,2.78337660045147e-07,0.4596352072573263;0.02980693485657508,
-5,-0.1480719748336055,-0.1446163132712558,1,9,4.5,2.246068625614514e-06,3.325805640053137e-07,0.7115497068707825;0.09616495805396905,
-8,-0.1747430945822895,-0.1746575923734992,1,8,4,8.897611693565849e-07,1.554797585123779e-07,0.8187570542313038;0.134445334316939,
-10,-0.1789078525320309,-0.1784231242969886,1,7,3.5,6.327583450882797e-08,1.132054366914659e-08,0.8447346348114265;0.1311860032614025,
-15,-0.1821084309935286,-0.1858532142039359,1,7,3.5,7.830160268089716e-07,1.425938200849686e-07,0.8854329447112494;0.1079464607110329,
-20,-0.1837931369646428,-0.1818251690484797,1,7,3.5,7.114258588403044e-07,1.307551903140247e-07,0.9160355004742262;0.08653377170362817,
