evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.002653295317171602,0.013849139097031265,0.004999999999999999,0.0004999999999999999,0.6292130353689775,0.13422875759793035
2,0.002461091647761208,0.013903279933349904,0.004931771983011986,0.0005018939112569922,0.6180587100884314,0.1396212060305271
3,0.0022676126611332267,0.013920888906043224,0.004865791187788813,0.0005038471456201856,0.6069003725374639,0.14525416658729515
4,0.0015055936816160004,0.01327062414065383,0.004610578081351237,0.0005117363940368953,0.5622670223335938,0.1677860088143673
5,0.002033159308816682,0.04252997810754713,0.003716747315508147,0.0005445481820149408,0.38373362151811363,0.257913377722656
6,0.0004524684303538239,0.0035149882465354268,0.004150299824561933,0.0005274948802847216,0.47513729570667285,0.21177090451855507
7,0.0005360928041281996,0.01103607328821596,0.0038240367292934905,0.0005228542566036597,0.42320138910952915,0.21842429326904172
8,0.0004070233421839364,0.0024131901198444342,0.004023394818457059,0.00052572987709525,0.45543816489609706,0.2142945145586397
9,0.00037181558346141287,0.0022577275782461564,0.003917616038094662,0.000518174171950338,0.44696835504463694,0.20297091270707038
10,0.00020953407374342423,0.0006998963657993706,0.0031780574360640176,0.00041495805799170426,0.36578093974187165,0.10215102278738025
11,0.00019812554006842014,0.00038641255199619624,0.003211678090926294,0.0003882486726972525,0.36391471193158453,0.10584898907277013
12,0.00014195160463219996,0.0012969237820568379,0.0034487781369059297,0.0002254396426828022,0.33883595369115266,0.13966842918855452
13,0.00011908730811787539,0.0007765251859953691,0.0035972492794933194,0.0001466406627436793,0.31573749817718494,0.1700664895766808
14,0.0001115246075649672,0.0002394448806590006,0.0035936779569206226,0.00011218981838776,0.30931235948508684,0.19543506608019356
15,0.00010830781280516083,0.00039829971861804475,0.003525385202338001,9.778238408718295e-05,0.31108123402902715,0.21155256475916345
16,0.00010208361327831709,0.0008161850703599878,0.0033226412341685863,8.080739133406028e-05,0.3241588467850206,0.24066442121006631
17,8.841895096493483e-05,0.001310774296181339,0.0028109520163453606,5.914169466124636e-05,0.36802904169982326,0.30225717751803394
18,6.942165464081858e-05,0.001242704830994493,0.002107803134256986,4.346103813729059e-05,0.45172278156193424,0.3886053458658355
19,0.00025431554056078935,0.009237553101402191,0.0012743687473435342,0.00012355806569294288,0.5900282103358205,0.4075542200705048
20,6.771484055201124e-05,0.0017486035584649566,0.002010004246803494,4.7967058069931056e-05,0.4647809488598914,0.39039441207723524
21,5.5305047505601476e-05,0.0007896493446332337,0.001578035760252689,4.3294594972457894e-05,0.544649947618977,0.4522175476476155
22,5.3050417761832034e-05,0.0001761187148324544,0.0014693670763424773,4.5526824539450834e-05,0.5717521891531044,0.4639305860995465
23,5.292119591337449e-05,1.648390613795616e-05,0.0014774956326680342,4.706377815000755e-05,0.5716847778696245,0.46012411625502453
24,5.2911572700245946e-05,8.747307643011254e-06,0.001488395560142802,4.76626012496289e-05,0.5697916855893703,0.45755334789346597
25,5.2910006429730846e-05,5.644682638954796e-06,0.0014916170837386026,4.7763340582769076e-05,0.5692991875597452,0.4570905344655623
26,5.2909257030119564e-05,7.567874467183148e-07,0.0014916230219149179,4.7759353273968694e-05,0.5696115302108169,0.45747385947567537
