phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.008122387304030951,-0.003102625616019559,0.001789441391470563,-0.003098194041343969
-2,-0.02789442154196056,-0.02373213005084653,-0.02120650451550158,-0.02349207130042201
-3,-0.06129697453964553,-0.06643911695666047,-0.06630909850490435,-0.06429299612429611
-4,-0.108061083948832,-0.1065082919309738,-0.09962922230957211,-0.09974982820713013
-5,-0.1354812639890666,-0.1350747439806375,-0.1239665943372014,-0.121897700100624
-6.5,-0.1593150309425325,-0.1599290956134512,-0.138086524355128,-0.1375406397218591
-8,-0.1716718651389106,-0.171580048635079,-0.143013443521855,-0.1439667269389854
-10,-0.1735978669086523,-0.177767788660558,-0.1496549086463166,-0.1488392566752516
-13,-0.1808074919500438,-0.1807980998006392,-0.1504691013926993,-0.1544465871311474
-17,-0.1820896560953913,-0.1826255138602614,-0.1615512155975993,-0.160569543807624
-22,-0.1891036002732425,-0.1842335265588426,-0.1699537719650254,-0.1664844782521328
-28,-0.1832562407713948,-0.1857595784132491,-0.1665185112849642,-0.171437236769568
-35,-0.1885126321939949,-0.1872488256906664,-0.1751931610876536,-0.1747577155464756
-41,-0.1859119715816313,-0.1884017607712694,-0.1802174676274317,-0.1758696553661979
-46.5,-0.1886093566851096,-0.189399261424106,-0.1791820335287433,-0.175896619517457
