evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.00014289185089072027,0.0036958641477392953,0.0014916230219149179,4.7759353273968694e-05,0.5696115302108169,0.45747385947567537
2,0.0001328686107873484,0.0017737515273232604,0.0014925024745123406,4.77316596393832e-05,0.5722158527951137,0.4548761808672181
3,0.0001294573867726573,0.00029642095468926486,0.0014922863654614903,4.7726329917697684e-05,0.5745539539597747,0.45235322747040285
4,0.00012928893619728018,0.00020545311718741876,0.001491000902339242,4.775018901698572e-05,0.5748565227264548,0.45178695797811314
5,0.0001290802451973404,0.00027175816959450634,0.0014877217020359914,4.781476087882746e-05,0.5749919676357211,0.4510280624716053
6,0.00012857728331204404,0.0004558854444210312,0.0014770723189742043,4.803237778470273e-05,0.5748952712538276,0.449172055632242
7,0.0001278691775941176,0.0005230228150692566,0.0014582117450772703,4.844389141351974e-05,0.5742498535161481,0.44655550649004394
8,0.0001270486581612767,0.0002801629028061353,0.0014369900489159388,4.9151513826165126e-05,0.5743047633716865,0.4453903843511212
9,0.00012664408702515312,0.00012923721518185203,0.0014238776975726171,4.9796819260378324e-05,0.5751867662539188,0.4459564898937203
10,0.00012647411198256017,0.0002588834513677237,0.0014207100531028049,5.012955152312282e-05,0.5762689681459785,0.44710225131071535
11,0.00012619122850976086,0.0004255808159289845,0.0014168149209845215,5.0747500794858396e-05,0.5788423172994053,0.44942159954153627
12,0.00012578561539633462,0.00047795630176859,0.0014122576307194082,5.1705964272959536e-05,0.5833701360092602,0.45289670239444435
13,0.00012535878293361443,0.0002337233069123302,0.0014043113571526411,5.292028691774729e-05,0.5887426193705212,0.45561324053266694
14,0.00012528261626511172,3.891060764717015e-05,0.0014043774680288959,5.3136660915312435e-05,0.5900206258556356,0.4559558141256301
15,0.0001252791150074595,8.659588184169774e-06,0.0014046337499281768,5.31032440792283e-05,0.5898850292397899,0.4557252962447089
16,0.00012527872109816405,1.0282297294735822e-05,0.00140477730626323,5.308657527718217e-05,0.5897894543237827,0.4556329429803073
17,0.00012527767457352847,1.5046827022171382e-05,0.001405211461408654,5.306732659257409e-05,0.5896222603677833,0.45548140908348905
18,0.00012527404253532323,2.886680245366485e-05,0.001406731848715387,5.3046699233788946e-05,0.5891065597166666,0.45499582321656545
19,0.00012526585117863604,4.918240636456443e-05,0.0014103152507923776,5.307249154477121e-05,0.5881083939251736,0.4540405044325715
20,0.0001252464052438718,7.796731979646412e-05,0.0014187961230757956,5.3254675903928355e-05,0.5860750272826984,0.4520477808990311
21,0.00012520700031946977,0.00010529301434201302,0.001439502003055194,5.3855836430001126e-05,0.5814848794448363,0.44753147561765166
22,0.00012516760409869506,0.00014263209138284418,0.001459496070117697,5.4898859718078224e-05,0.5779318396787376,0.44345999549243226
23,0.00012514984832758458,2.357609881693924e-05,0.001489490683901999,5.593734027695117e-05,0.5714802105372117,0.4376729076186561
24,0.00012512776197799155,1.794749544927033e-05,0.0014770480314992265,5.582630160673255e-05,0.57478932031022,0.44045544586233454
25,0.0001251258050083628,5.754492912723437e-06,0.00147337766340385,5.580637825550827e-05,0.5757912452940701,0.4413753972161685
26,0.000125125779481356,4.800108996690029e-07,0.0014730943996577723,5.58065135687254e-05,0.5758810281758654,0.4414742837463182
