phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.007483460916365476,-0.00312463339096438,0.001060649073003794,-0.003120730078579573
-2,-0.02731067792811635,-0.02374466323328328,-0.02145874608431169,-0.02353105146357813
-3,-0.06192220497036547,-0.06632301984817228,-0.0659568448718815,-0.06437505595730036
-4,-0.1079666903307231,-0.1063047563153696,-0.09962180675297472,-0.1000186322895361
-5,-0.1355576318871053,-0.1348646592510336,-0.123516153031586,-0.1223059011254867
-6.5,-0.1594981433550219,-0.1597930779345624,-0.1377145193184194,-0.137788959297779
-8,-0.1717302207076256,-0.1715174852773018,-0.1427989098651135,-0.1437757781341738
-10,-0.1741329113819234,-0.1777476961216133,-0.1491318453205951,-0.1480304883175726
-11.5,-0.1797507782306107,-0.1796729261803569,-0.1480183949925786,-0.1505662307960663
-13,-0.180369925053021,-0.1807898386810733,-0.1547720844454233,-0.1528883287644003
