phi_applied,flux_clean,flux_noisy
-1,-0.002819451201137672,0.001789441391470563
-2,-0.02280168364757939,-0.02120650451550158
-3,-0.06408144171047786,-0.06630909850490435
-4,-0.09958232622819777,-0.09962922230957211
-5,-0.121117997357992,-0.1239665943372014
-6.5,-0.1357339594135733,-0.138086524355128
-8,-0.1416567297415814,-0.143013443521855
-10,-0.1463470490184126,-0.1496549086463166
-13,-0.1519549925578369,-0.1504691013926993
-17,-0.1582049806277019,-0.1615512155975993
-22,-0.1643747095730307,-0.1699537719650254
-28,-0.1697171091007695,-0.1665185112849642
-35,-0.1735608880924956,-0.1751931610876536
-41,-0.175125341354615,-0.1802174676274317
-46.5,-0.1754809377639227,-0.1791820335287433
