V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method
-0.5000,-1.83794607e-01,1.53822116e-05,1.0000,warm<--15.569
-0.4000,-1.82775167e-01,1.53825133e-05,1.0000,warm<--11.677
-0.3000,-1.81611606e-01,1.53828586e-05,1.0000,warm<--7.784
-0.2000,-1.80168890e-01,1.53832882e-05,1.0000,warm<--3.892
-0.1000,-1.78018774e-01,1.53839308e-05,1.0000,warm<-+0.000
0.0000,-1.73785661e-01,1.53851991e-05,1.0000,warm<-+1.946
0.0500,-1.69853268e-01,1.53863785e-05,1.0000,warm<-+3.892
0.1000,-1.63071606e-01,1.53884135e-05,1.0000,warm<-+7.784
0.2000,-7.86070855e-02,1.54138422e-05,1.0000,warm<-+11.677
0.3000,-1.92008133e-05,1.54376242e-05,1.0000,warm<-+15.569
0.4000,-1.54375901e-05,1.54375782e-05,1.0000,cold
0.5000,-1.18238217e-05,1.18238785e-05,1.0000,cold
0.6000,1.81780799e-09,2.69519907e-09,1.0000,cold
