v_rhe,current_density_mAcm2,peroxide_current_mAcm2
0.700000,-3.19374400e-03,3.19369903e-03
0.650000,-2.08059289e-02,2.08055144e-02
0.600000,-4.93358098e-02,4.93340993e-02
0.550000,-8.29827169e-02,8.29777952e-02
0.500000,-1.10789956e-01,1.10779155e-01
0.450000,-1.14262155e-01,1.14159368e-01
0.400000,-1.15055110e-01,1.13881691e-01
0.350000,-1.14663596e-01,1.00536231e-01
0.300000,-1.20254848e-01,3.06844703e-02
0.250000,-1.37484608e-01,-5.78448794e-13
0.200000,-1.49827768e-01,-6.27612213e-12
0.150000,-1.56671875e-01,-6.97242202e-11
0.100000,-1.62887184e-01,-7.76180418e-10
0.050000,-1.69358737e-01,-8.62086794e-09
0.000000,-1.73296789e-01,-9.69367796e-08
-0.050000,-1.75829487e-01,-1.09774606e-06
-0.100000,-1.77528800e-01,-1.24828698e-05
-0.150000,-1.78741463e-01,-1.42033240e-04
-0.200000,-1.79678929e-01,-1.58375816e-03
-0.250000,-1.80492535e-01,-1.45637740e-02
-0.300000,-1.81332999e-01,-6.49994715e-02
-0.350000,-1.82151089e-01,-1.28165211e-01
-0.400000,-1.82829054e-01,-1.63740918e-01
-0.450000,-1.83396291e-01,-1.77041724e-01
-0.500000,-1.83904766e-01,-1.81120087e-01
