V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method
-0.5000,-1.84127425e-01,-1.81368419e-01,1.0000,warm<--15.569
-0.4000,-1.83134171e-01,-1.64058334e-01,1.0000,warm<--11.677
-0.3000,-1.82133520e-01,-6.53831286e-02,1.0000,warm<--7.784
-0.2000,-1.80794778e-01,-1.58350177e-03,1.0000,cold
-0.1000,-1.78643184e-01,2.88712356e-06,1.0000,cold
0.0000,-1.74402135e-01,1.53916153e-05,1.0000,cold
0.0500,-1.70462556e-01,1.54795868e-05,1.0000,cold
0.1000,-1.63673927e-01,1.54854838e-05,1.0000,cold
0.2000,-7.91386987e-02,1.54611551e-05,1.0000,cold
0.3000,-1.92470690e-05,1.54376815e-05,1.0000,cold
0.4000,-1.54358052e-05,1.54357932e-05,1.0000,cold
0.5000,-1.18581786e-05,1.18582350e-05,1.0000,cold
0.6000,1.82149813e-09,2.70964233e-09,1.0000,cold
