V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method,initializer_fallback,initializer_picard_iters,initializer_fallback_reason
0.2000,-5.69620133e-03,1.54387495e-05,1.0000,cold,True,,
0.3000,-1.09730668e-05,1.09730663e-05,1.0000,warm<-+7.784,False,,
0.4000,-1.98472438e-13,1.99806489e-13,1.0000,warm<-+11.677,False,,
0.5000,2.62241999e-16,2.62243555e-16,1.0000,warm<-+15.569,False,,
0.6000,1.03193097e-16,1.03193097e-16,1.0000,warm<-+19.461,False,,
0.6800,2.61330295e-16,2.61330295e-16,1.0000,warm<-+23.353,False,,
0.7000,5.49094280e-16,5.49094280e-16,1.0000,warm<-+26.467,False,,
0.7500,2.00784168e-15,2.00784168e-15,1.0000,warm<-+27.245,False,,
0.8000,4.73336767e-15,4.73336767e-15,1.0000,warm<-+29.191,False,,
0.9000,1.06821150e-13,1.06821150e-13,1.0000,warm<-+31.137,False,,
1.0000,1.09573745e-12,1.09573745e-12,1.0000,warm<-+35.030,False,,
1.1000,1.57850288e-11,1.57850288e-11,1.0000,warm<-+38.922,False,,
1.2000,4.40532975e-11,4.40532975e-11,1.0000,warm<-+42.814,False,,
1.3000,3.42266838e-09,3.42266838e-09,1.0000,warm<-+46.706,False,,
1.4000,3.40196778e-10,3.40196778e-10,1.0000,warm<-+50.598,False,,
1.5000,3.84009122e-11,3.84009122e-11,1.0000,warm<-+54.490,False,,
1.6000,2.61624672e-10,2.61624672e-10,1.0000,warm<-+58.383,False,,
1.7000,1.47969029e-09,1.47969029e-09,1.0000,warm<-+62.275,False,,
1.8000,1.74357152e-10,1.74357152e-10,1.0000,warm<-+66.167,False,,
1.9000,2.10819082e-11,2.10819082e-11,1.0000,warm<-+70.059,False,,
2.0000,3.77290113e-12,3.77290113e-12,1.0000,warm<-+73.951,False,,
