V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method,initializer_fallback,initializer_picard_iters,initializer_fallback_reason
-0.5000,-1.84322148e-01,-1.81552175e-01,1.0000,warm<--15.569,True,,
-0.4000,-1.83355549e-01,-1.64225406e-01,1.0000,warm<--11.677,True,,
-0.3000,-1.82518488e-01,-6.54288394e-02,1.0000,warm<--7.784,True,,
-0.2000,-1.81283737e-01,-1.58265673e-03,1.0000,cold,True,,
-0.1000,-1.79128846e-01,2.91043145e-06,1.0000,cold,True,,
0.0000,-1.74871336e-01,1.54068226e-05,1.0000,cold,True,,
0.0500,-1.70890637e-01,1.54943565e-05,1.0000,cold,True,,
0.1000,-1.63691411e-01,1.54994250e-05,1.0000,cold,True,,
0.2000,-5.69620133e-03,1.54387495e-05,1.0000,cold,True,,
0.3000,-1.09730668e-05,1.09730663e-05,1.0000,warm<-+7.784,False,,
0.4000,-1.98472438e-13,1.99806489e-13,1.0000,warm<-+11.677,False,,
0.5000,2.62241999e-16,2.62243555e-16,1.0000,warm<-+15.569,False,,
0.6000,1.03193097e-16,1.03193097e-16,1.0000,warm<-+19.461,False,,
0.6800,2.61330295e-16,2.61330295e-16,1.0000,warm<-+23.353,False,,
0.7000,5.49094280e-16,5.49094280e-16,1.0000,warm<-+26.467,False,,
0.7500,2.00784168e-15,2.00784168e-15,1.0000,warm<-+27.245,False,,
0.8000,4.73336767e-15,4.73336767e-15,1.0000,warm<-+29.191,False,,
0.9000,1.06821150e-13,1.06821150e-13,1.0000,warm<-+31.137,False,,
1.0000,1.09573745e-12,1.09573745e-12,1.0000,warm<-+35.030,False,,
