V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method
-0.5000,,,0.0000,cold-failed
-0.4000,,,0.0000,cold-failed
-0.3000,,,0.0000,cold-failed
-0.2000,,,0.0000,cold-failed
-0.1000,,,0.0000,cold-failed
0.0000,,,0.0000,cold-failed
0.0500,,,0.0000,cold-failed
0.1000,,,0.0000,cold-failed
0.2000,,,0.0000,cold-failed
0.3000,,,0.0000,cold-failed
0.4000,,,0.3000,cold-failed
0.5000,,,0.2000,cold-failed
0.6000,,,0.2000,cold-failed
0.6200,,,0.1500,cold-failed
0.6400,,,0.1500,cold-failed
0.6600,,,0.1500,cold-failed
0.6800,,,0.1500,cold-failed
0.7000,,,0.1500,cold-failed
0.7200,,,0.1500,cold-failed
0.7500,,,0.1500,cold-failed
0.8000,,,0.1500,cold-failed
0.8500,,,0.1000,cold-failed
0.9000,,,0.1000,cold-failed
0.9500,,,0.1000,cold-failed
1.0000,,,0.1000,cold-failed
1.0500,,,0.1000,cold-failed
1.1000,,,0.1000,cold-failed
1.1500,,,0.1000,cold-failed
1.2000,,,0.1000,cold-failed
