V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method
-0.5000,-1.83794608e-01,1.53822118e-05,1.0000,warm<--15.569
-0.4000,-1.82775167e-01,1.53825135e-05,1.0000,warm<--11.677
-0.3000,-1.81611607e-01,1.53828588e-05,1.0000,warm<--7.784
-0.2000,-1.80168889e-01,1.53832882e-05,1.0000,warm<--3.892
-0.1000,-1.78018773e-01,1.53839308e-05,1.0000,warm<-+0.000
0.0000,-1.73785661e-01,1.53851990e-05,1.0000,warm<-+1.946
0.0500,-1.69853268e-01,1.53863784e-05,1.0000,warm<-+3.892
0.1000,-1.63071607e-01,1.53884137e-05,1.0000,warm<-+7.784
0.2000,-7.86070799e-02,1.54138421e-05,1.0000,warm<-+11.677
0.3000,-1.92008126e-05,1.54376241e-05,1.0000,warm<-+15.569
0.4000,-1.54375901e-05,1.54375782e-05,1.0000,cold
0.5000,-1.18238217e-05,1.18238785e-05,1.0000,cold
0.6000,1.81780799e-09,2.69519907e-09,1.0000,cold
0.6200,3.99617292e-09,4.08120256e-09,1.0000,cold
0.6400,7.22028879e-09,7.22851534e-09,1.0000,cold
0.6600,1.29212151e-08,1.29219423e-08,1.0000,cold
0.6800,,,0.7500,cold-failed
0.7000,,,0.5000,cold-failed
0.7200,,,0.3500,cold-failed
0.7500,,,0.2000,cold-failed
0.8000,,,0.1500,cold-failed
0.8500,,,0.1000,cold-failed
0.9000,,,0.0500,cold-failed
0.9500,,,0.0500,cold-failed
1.0000,,,0.0500,cold-failed
1.0500,,,0.0000,cold-failed
1.1000,,,0.0000,cold-failed
1.1500,,,0.0000,cold-failed
1.2000,,,0.0000,cold-failed
