phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002823517842217851,0.00238066372498533,1,10,5,4.165391994694513e-06,1.176110760647484e-08,0.0153908854124661;1.106198776846551e-05,
-2,-0.02305320466840268,-0.02125199067420792,1,11,5.5,5.309380993444959e-06,1.223988965667888e-07,0.1250667756833507;0.0006856599487471122,
-3,-0.06648225800875268,-0.06899764108498282,1,11,5.5,2.956898632327348e-06,1.96581879052804e-07,0.3561055733098121;0.00654708132874421,
-5,-0.136114568022574,-0.1361675212466639,1,10,5,1.329149772873809e-06,1.80916887637661e-07,0.7015899265414995;0.04089853439296588,
-8,-0.1721558509199452,-0.1753723754090096,1,9,4.5,5.23324876444102e-07,9.009348655997229e-08,0.8559063665450842;0.08318292159940273,
-10,-0.1780352025812226,-0.1806916270603096,1,8,4,6.408655679311755e-08,1.140966385260178e-08,0.8847340671400192;0.08642637128391743,
-13,-0.1809172833723336,-0.1824492316018486,1,7,3.5,2.543349280438059e-07,4.601358424838331e-08,0.9078934661695655;0.07898837343845265,
-17,-0.1827120844859531,-0.1864471904265954,1,7,3.5,4.262082457637641e-07,7.787339700859874e-08,0.9298353842713151;0.06683687774258232,
-22,-0.1842950101847227,-0.1826171998957867,1,7,3.5,3.995829331847891e-07,7.364114074093209e-08,0.9509796139574063;0.05432731577007591,
-28,-0.1857832631608049,-0.1895617010393096,1,7,3.5,2.824173431546918e-07,5.246841558448345e-08,0.9696083812014118;0.04381678801906209,
-35,-0.187251447384663,-0.193551106810283,1,7,3.5,1.752419487619236e-07,3.281430854817913e-08,0.9840948395237725;0.03733909658019807,
-46.5,-0.1893983704075669,-0.1857866386391574,1,7,3.5,1.332739314029147e-07,2.524186878960499e-08,0.995186210365715;0.03795893045483172,
