phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002822421855255999,0.002526385774254149,1,19,1.9,4.642341194886587e-05,1.310325354574038e-07,0.01538514990825307;1.081901602310432e-05,
-2,-0.02300607591204578,-0.0211548055383822,1,25,2.5,3.575178317511834e-05,8.225376449053079e-07,0.1248160160964507;0.0006793378853760047,
-3,-0.06634635831174167,-0.06893164478100509,1,23,2.3,3.918508536718127e-05,2.599889591142768e-06,0.3554255011952592;0.006485837077671732,
-4,-0.1071170337667736,-0.1071714585798516,1,20,2,2.977548959566522e-05,3.189557095065187e-06,0.5634955362931388;0.02081489202315052,
-5,-0.1359756368117794,-0.1392815496638669,1,17,1.7,2.099691072953371e-05,2.855128256401551e-06,0.701105573496059;0.040625034532746,
-6,-0.1544360291897834,-0.1571662766528045,1,15,1.5,1.179719955999874e-05,1.82193414932641e-06,0.7822898272408096;0.06013998238056326,
-7,-0.1656063516756636,-0.1671808732929883,1,13,1.3,9.030700428048887e-06,1.495554856872916e-06,0.8286827051312965;0.07467985894224757,
-8,-0.1721162821606459,-0.1759551880278508,1,12,1.2,5.389405927850211e-06,9.276095106203197e-07,0.8558753312238148;0.08299811413749292,
-9,-0.1758496790760108,-0.1741252418405985,1,11,1.1,3.983020503099568e-06,7.004156669931927e-07,0.8729804824392974;0.08625819031844219,
-10,-0.1780218634763868,-0.1819053054914657,1,10,1,3.772833016984374e-06,6.716492982894451e-07,0.8848240972320468;0.08626357799274322,
-12,-0.1802489422790887,-0.186723671487505,1,10,1,1.986176147300554e-06,3.580068607955678e-07,0.901480752833184;0.08175536716589117,
-14,-0.1814507062169858,-0.1777386031342728,1,9,0.9,2.167111056655209e-06,3.932246838422859e-07,0.9142340536743936;0.07555754285903558,
-17,-0.1827091212504554,-0.184603440563504,1,9,0.9,1.240554194946271e-06,2.266608480072652e-07,0.9302235718358378;0.0664325260877934,
-20,-0.1837099733207319,-0.1896195933240605,1,9,0.9,5.334939832053654e-07,9.80082177082231e-08,0.9435488518910046;0.05856677269519047,
-24,-0.1848255359084488,-0.1891208083337967,1,9,0.9,6.672643431051334e-07,1.233275720990967e-07,0.958278767342744;0.04992211586685352,
-28,-0.1857816319581357,-0.1845983321007816,1,9,0.9,7.450331618394113e-07,1.384135797921626e-07,0.9698817599953805;0.04353451121236103,
-32,-0.1866429904833951,-0.1836221349638298,1,9,0.9,1.12365383497229e-06,2.097223476826837e-07,0.9789158339075712;0.03919904359208871,
-38,-0.187834890034723,-0.1873087429413844,1,9,0.9,2.486190972483756e-06,4.66994568959489e-07,0.9884396234642193;0.03617692153738797,
-46.5,-0.1893986040455329,-0.1941632766659327,1,9,0.9,4.377232028707822e-06,8.290452647441438e-07,0.9952312002899154;0.03791521499740132,
