rank,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,grid_loss,polished_loss,polish_iters
7,1.37384303e-03,4.86479367e-05,0.597167,0.468246,8.7626,7.5689,4.7580,6.3507,1.158454800695e-04,6.307420425829e-05,25
5,1.37384305e-03,4.86479381e-05,0.597167,0.468246,8.7626,7.5689,4.7580,6.3507,1.087849726027e-04,6.307420425829e-05,23
3,1.37384285e-03,4.86479254e-05,0.597167,0.468246,8.7626,7.5689,4.7580,6.3507,1.009588811461e-04,6.307420425829e-05,26
4,1.37384315e-03,4.86479363e-05,0.597167,0.468246,8.7626,7.5689,4.7580,6.3507,1.046949704391e-04,6.307420425829e-05,26
8,1.37384249e-03,4.86479253e-05,0.597167,0.468246,8.7625,7.5689,4.7580,6.3507,1.223966939947e-04,6.307420425830e-05,28
19,1.37384216e-03,4.86479098e-05,0.597168,0.468247,8.7625,7.5690,4.7580,6.3507,1.678079506033e-04,6.307420425831e-05,24
14,1.37384295e-03,4.86479611e-05,0.597167,0.468246,8.7626,7.5689,4.7580,6.3507,1.624428388793e-04,6.307420425831e-05,29
16,1.37384253e-03,4.86478841e-05,0.597167,0.468247,8.7625,7.5690,4.7580,6.3507,1.642138074042e-04,6.307420425832e-05,23
6,1.37384369e-03,4.86479839e-05,0.597167,0.468246,8.7626,7.5688,4.7580,6.3508,1.158112840811e-04,6.307420425832e-05,21
15,1.37384352e-03,4.86479514e-05,0.597167,0.468246,8.7626,7.5689,4.7580,6.3508,1.635195190411e-04,6.307420425835e-05,23
12,1.37384281e-03,4.86480022e-05,0.597167,0.468246,8.7626,7.5688,4.7580,6.3507,1.412178975901e-04,6.307420425842e-05,25
17,1.37384394e-03,4.86480182e-05,0.597167,0.468246,8.7626,7.5688,4.7580,6.3508,1.661820289975e-04,6.307420425848e-05,24
18,1.37384197e-03,4.86478176e-05,0.597167,0.468247,8.7625,7.5691,4.7580,6.3507,1.678056648740e-04,6.307420425866e-05,19
11,1.37384164e-03,4.86479849e-05,0.597168,0.468246,8.7625,7.5688,4.7580,6.3507,1.333067936375e-04,6.307420425868e-05,25
2,1.37384011e-03,4.86478346e-05,0.597168,0.468247,8.7623,7.5691,4.7579,6.3506,9.624634174135e-05,6.307420425875e-05,24
1,1.37384630e-03,4.86479860e-05,0.597167,0.468246,8.7628,7.5688,4.7581,6.3508,8.970698630063e-05,6.307420425909e-05,16
9,1.37384093e-03,4.86480687e-05,0.597168,0.468246,8.7624,7.5687,4.7579,6.3507,1.308962230832e-04,6.307420425924e-05,21
0,1.37384517e-03,4.86481679e-05,0.597167,0.468245,8.7627,7.5685,4.7581,6.3509,8.198786042065e-05,6.307420425961e-05,17
10,1.37384903e-03,4.86483520e-05,0.597167,0.468245,8.7630,7.5681,4.7581,6.3509,1.328569909526e-04,6.307420426197e-05,26
13,1.37386186e-03,4.86487473e-05,0.597163,0.468242,8.7641,7.5674,4.7586,6.3516,1.494429860559e-04,6.307420427028e-05,24
