problem,method,noise_std,seed,d_true,d_guess,phi_true,phi_guess,success,failure_reason,time_s,peak_rss_mib,objective,estimate,error_abs,error_rel,log_tail
infer_D,BFGS,0.0,20260211,"[1.0, 3.0]","[0.3, 0.3]",,,True,,10.600699667000299,339.125,4.2667773668410333e-16,"[0.9999988867255327, 3.000044089650555]",4.4103703541695965e-05,1.3946815644059417e-05,"j = 4.07506955162867e-07, m = [0.12899196], [0.83641044], D = [1.13768098], [2.30806714]\nj = 3.840774966897877e-07, m = [0.1315818], [0.86482751], D = [1.14063121], [2.37459645]\nj = 3.422485764498061e-07, m = [0.13064421], [0.90633833], D = [1.13956226], [2.4752424]\nj = 2.694383053882982e-07, m = [0.12167622], [0.97049463], D = [1.12938837], [2.63924959]\nj = 1.5269947168976286e-07, m = [0.09410845], [1.0744064], D = [1.09867889], [2.92825418]\nj = 4.6171227855592976e-08, m = [0.03743718], [1.20738336], D = [1.03814677], [3.34472126]\nj = 2.7032425684210682e-08, m = [0.01845769], [1.20915531], D = [1.01862909], [3.35065318]\nj = 5.6750772556167526e-09, m = [-0.0003403], [1.15509662], D = [0.99965976], [3.17433011]\nj = 1.436338074658745e-10, m = [-0.00264403], [1.10051594], D = [0.99735946], [3.00571639]\nj = 2.536146655117812e-12, m = [-0.00035941], [1.09870754], D = [0.99964066], [3.00028577]\nj = 4.2667773668410333e-16, m = [-1.11327509e-06], [1.09862699], D = [0.99999889], [3.00004409]\nj = 4.2667773668410333e-16, m = [-1.11327509e-06], [1.09862699], D = [0.99999889], [3.00004409]"
infer_D,BFGS,0.0,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,True,,10.421993333999126,347.515625,6.345228205450617e-13,"[1.0001701244448324, 3.000585584040029]",0.0006097958631099808,0.00019283438351757874,"j = 1.7660576895443977e-06, m = [0.14078524], [0.44181546], D = [1.1511774], [1.55552866]\nj = 1.6713688274744224e-06, m = [0.09939075], [0.43892055], D = [1.10449779], [1.55103205]\nj = 1.523270995053106e-06, m = [0.04079795], [0.4480549], D = [1.04164163], [1.56526463]\nj = 1.2975752039936836e-06, m = [-0.02192074], [0.48796895], D = [0.97831777], [1.62900426]\nj = 9.335159439293681e-07, m = [-0.06003996], [0.57717816], D = [0.9417269], [1.78100561]\nj = 3.845481500466627e-07, m = [-0.05369901], [0.74755133], D = [0.94771732], [2.11182252]\nj = 6.43335884263021e-08, m = [-0.0123133], [0.93094509], D = [0.9877622], [2.53690565]\nj = 8.881586499780599e-09, m = [0.0018463], [1.03174187], D = [1.001848], [2.80594918]\nj = 6.678211690480416e-10, m = [0.00270052], [1.08189743], D = [1.00270417], [2.95027219]\nj = 1.9842149352201358e-11, m = [0.0008973], [1.09711753], D = [1.0008977], [2.99551908]\nj = 6.345228205450617e-13, m = [0.00017011], [1.09880746], D = [1.00017012], [3.00058558]\nj = 6.345228205450617e-13, m = [0.00017011], [1.09880746], D = [1.00017012], [3.00058558]"
infer_D,BFGS,0.0,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,True,,9.319286833997467,329.96875,1.5834841169766065e-13,"[0.4999913305276424, 1.9997726769458792]",0.00022748830889905453,0.00011034803837458116,"j = 1.3539343287164474e-05, m = [-0.94929161], [0.36542365], D = [0.38701508], [1.44112441]\nj = 9.655420035735861e-06, m = [-0.87234785], [0.57572332], D = [0.41796907], [1.77841642]\nj = 4.569063361274907e-06, m = [-0.71416723], [0.98555784], D = [0.48959967], [2.67930608]\nj = 3.51222125832333e-06, m = [-0.66449843], [1.08845091], D = [0.51453154], [2.96967022]\nj = 2.3439158774691872e-06, m = [-0.649435], [1.07192887], D = [0.52234082], [2.92100833]\nj = 6.591171601896235e-07, m = [-0.66488187], [0.91179313], D = [0.51433428], [2.48878125]\nj = 4.8704664766424836e-08, m = [-0.69176836], [0.7412424], D = [0.50068989], [2.09854113]\nj = 4.350935831326457e-09, m = [-0.6973632], [0.69249581], D = [0.49789643], [1.99869768]\nj = 8.88833546223493e-10, m = [-0.69560332], [0.68970269], D = [0.49877344], [1.99312286]\nj = 1.1709696846357882e-11, m = [-0.69343325], [0.6921986], D = [0.49985699], [1.99810374]\nj = 1.5834841169766065e-13, m = [-0.69316452], [0.69303351], D = [0.49999133], [1.99977268]\nj = 1.5834841169766065e-13, m = [-0.69316452], [0.69303351], D = [0.49999133], [1.99977268]"
infer_D,BFGS,0.0,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,True,,10.89043270899856,330.71875,1.0984158301906412e-15,"[0.5000000041231664, 2.000013750539569]",1.3750540187377452e-05,6.669991717865611e-06,"j = 4.306742039559555e-06, m = [-0.80764843], [0.14976187], D = [0.44590541], [1.16155761]\nj = 3.823144761898718e-06, m = [-0.82271154], [0.18158236], D = [0.43923903], [1.19911329]\nj = 3.079376207882985e-06, m = [-0.83060181], [0.24972937], D = [0.43578695], [1.28367797]\nj = 1.9133011444996396e-06, m = [-0.81205825], [0.3714039], D = [0.44394338], [1.44976851]\nj = 3.519099796815032e-07, m = [-0.74579597], [0.57119199], D = [0.47435658], [1.77037607]\nj = 4.367939687424607e-09, m = [-0.69893407], [0.68226459], D = [0.49711491], [1.97835283]\nj = 4.257365887619291e-11, m = [-0.69334752], [0.69393337], D = [0.49989984], [2.001573]\nj = 6.869998421501433e-12, m = [-0.69311748], [0.6937563], D = [0.50001485], [2.00121862]\nj = 1.5230597145232475e-13, m = [-0.69311903], [0.69326305], D = [0.50001408], [2.00023176]\nj = 3.3562450283914454e-13, m = [-0.69319239], [0.69297895], D = [0.49997739], [1.99966356]\nj = 1.0984158301906412e-15, m = [-0.69314717], [0.69315406], D = [0.5], [2.00001375]\nj = 1.0984158301906412e-15, m = [-0.69314717], [0.69315406], D = [0.5], [2.00001375]"
infer_phi0,BFGS,0.0,20260211,,,0.5,0.2,True,,3.270568625001033,303.890625,6.710844840269936e-26,0.5000000000003664,3.6637359812630166e-13,7.327471962526033e-13,"step 0\nstep 0\nj = 0.0450000000001049, phi0 = [0.2]\nj = 6.710844840269936e-26, phi0 = [0.5]\nj = 6.710844840269936e-26, phi0 = [0.5]"
infer_phi0,BFGS,0.0,20260211,,,0.5,10.0,True,,4.0808999999972,316.375,2.2244169052850178e-26,0.49999999999978906,2.1094237467877974e-13,4.218847493575595e-13,"step 0\nstep 0\nj = 45.12499999999843, phi0 = [10.]\nj = 36.04004999999681, phi0 = [8.99]\nj = 20.02461025793745, phi0 = [6.82844535]\nj = 0.7398358764189323, phi0 = [1.71641759]\nj = 2.2244169052850178e-26, phi0 = [0.5]\nj = 2.2244169052850178e-26, phi0 = [0.5]"
infer_phi0,BFGS,0.0,20260211,,,1.5,0.2,True,,3.5128232080023736,304.109375,1.0290228842135628e-26,1.4999999999998566,1.4344081478157023e-13,9.562720985438015e-14,"step 0\nstep 0\nj = 0.845000000000403, phi0 = [0.2]\nj = 0.04204999999999794, phi0 = [1.21]\nj = 1.0290228842135628e-26, phi0 = [1.5]\nj = 1.0290228842135628e-26, phi0 = [1.5]"
infer_phi0,BFGS,0.0,20260211,,,1.5,10.0,True,,4.114828292000311,315.25,2.3573373707446085e-29,1.4999999999999931,6.8833827526759706e-15,4.588921835117314e-15,"step 0\nstep 0\nj = 36.12499999999888, phi0 = [10.]\nj = 28.050049999997984, phi0 = [8.99]\nj = 14.109963505117966, phi0 = [6.81224312]\nj = 6.582550205610959e-05, phi0 = [1.51147393]\nj = 2.3573373707446085e-29, phi0 = [1.5]\nj = 2.3573373707446085e-29, phi0 = [1.5]"
infer_D,L-BFGS-B,0.0,20260211,"[1.0, 3.0]","[0.3, 0.3]",,,True,,4.993152458999248,332.25,4.4432473550167695e-11,"[0.9993465160155752, 2.9868454970232934]",0.013170724728809835,0.004164948857814258,"step 0\nj = 0.00017384076102928164, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 3.3151193262953684e-05, m = [-0.6505173], [-0.37109406], D = [0.52177579], [0.68997904]\nj = 1.2508579972959641e-05, m = [-0.31211162], [-0.10909903], D = [0.73189983], [0.89664162]\nj = 3.6235544536658795e-06, m = [-0.12694388], [0.25172301], D = [0.8807831], [1.28623971]\nj = 1.2740703107545216e-06, m = [-0.02082612], [0.49192671], D = [0.97938925], [1.63546426]\nj = 4.0609299595367473e-07, m = [0.01477464], [0.71087175], D = [1.01488433], [2.03576517]\nj = 9.4055553458964e-08, m = [-0.00277173], [0.89422956], D = [0.99723211], [2.44545099]\nj = 1.370783893563287e-08, m = [0.0089803], [1.02014511], D = [1.00902075], [2.77359722]\nj = 3.3184741577469663e-09, m = [-0.01260858], [1.0889452], D = [0.98747058], [2.97113847]\nj = 4.4432473550167695e-11, m = [-0.0006537], [1.09421781], D = [0.99934652], [2.9868455]\nj = 4.4432473550167695e-11, m = [-0.0006537], [1.09421781], D = [0.99934652], [2.9868455]"
infer_D,L-BFGS-B,0.0,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,False,"ConvergenceError: Nonlinear solve failed to converge after 25 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",3.7309874589991523,311.015625,,,,,"step 0\nstep 0\nj = 3.0285916974059464e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 1.5729268404165275e-05, m = [1.55124488], [1.64267003], D = [4.71733907], [5.16895236]\nj = 0.0001941281817462899, m = [-1.45411595], [-0.99699022], D = [0.23360679], [0.36898834]\nj = 3.8138322186813008e-06, m = [0.6381367], [0.84067136], D = [1.89295046], [2.31792262]"
