evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,used_replay_mode,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.08783618668254228,0.011148725976571336,0.02285661308263464,0.025430667559266734,0,0,0,5.0,5.0,0
2,0,4.988851274023428,4.977143386917366,0.08718947697889601,0.01113269257185757,0.022863571644868057,0.025429898785868325,0,0,0,4.988851274023428,4.977143386917366,0
3,1,2.262347644444091,1e-06,2000000000.1285732,-0.01283999660764767,-1.5336540462084747,1.533707794517753,2,0,0,2.262347644444091,1e-06,0
4,1,4.988851273990677,4.977143386857578,0.08718947697716446,0.011132692571818373,0.022863571644882296,0.025429898785863967,0,0,0,4.988851273990677,4.977143386857578,0
5,1,3.625599459217384,2.488572193428789,0.01945390142049158,0.00731308772811605,0.018472891934301943,0.019867787711154942,0,0,0,3.625599459217384,2.488572193428789,0
6,2,1e-06,1e-06,2000000000.1998854,-0.07891446459471729,-1.402529677458018,1.4047480161483636,2,0,0,1e-06,1e-06,0
7,2,3.6255994591954837,2.488572193413757,0.01945390142005372,0.007313087728069745,0.018472891934162804,0.019867787711008528,0,0,0,3.6255994591954837,2.488572193413757,0
8,2,1.812800229597742,1.2442865967068784,0.0035065066353844932,-0.002488358446658115,-0.012797908327521179,0.013037575898865967,0,0,0,1.812800229597742,1.2442865967068784,0
9,3,1.8152885880444,1.2570845050343995,0.003340294896378373,-0.002350760430156768,-0.012238054184131689,0.01246178337212351,0,0,0,1.8152885880444,1.2570845050343995,0
10,3,1.8252420218310328,1.308276138344484,0.002748255211110624,-0.0018130253320957318,-0.010113025430277051,0.010274256382252255,0,0,0,1.8252420218310328,1.308276138344484,0
11,4,1.855272426992856,1.5501506051845755,0.0012933704707221848,0.0004172226562676941,-0.00223258140107129,0.002271231925038153,0,0,0,1.855272426992856,1.5501506051845755,0
12,5,1.8343016985432612,1.623020229467398,0.0011772147234598049,0.0009180105293472867,-0.0006000856947217296,0.0010967434399175343,0,0,0,1.8343016985432612,1.623020229467398,0
13,6,1.7763812129541037,1.679366622946313,0.0011072790125564542,0.0011472216313623647,0.0002279304786775467,0.001169645148998576,0,0,0,1.7763812129541037,1.679366622946313,0
14,7,1.5777796271391689,1.7990819921149233,0.0009468815475103698,0.0013181493242219848,0.001152518920582232,0.0017509476015137942,0,0,0,1.5777796271391689,1.7990819921149233,0
15,8,1.0804840790250205,2.0249272323586887,0.0006882585013898893,0.000661366404341143,0.0010684552193420502,0.0012565834936566695,0,0,0,1.0804840790250205,2.0249272323586887,0
16,9,0.9455027619049069,2.037588829727182,0.0006602921116914866,-0.00016788586062100528,5.909939377711859e-05,0.0001779842704883736,0,0,0,0.9455027619049069,2.037588829727182,0
17,10,1.0298582581126055,1.991477995676172,0.0006518084108424723,2.448676216826939e-05,5.358737370464293e-05,5.8916959714894025e-05,0,0,0,1.0298582581126055,1.991477995676172,0
18,11,1.031844976489187,1.98727349392389,0.0006517222456379819,1.8458485029322565e-08,-1.0698207541918233e-06,1.0699799819478585e-06,0,0,0,1.031844976489187,1.98727349392389,0
19,12,1.0315943278971835,1.9874686682466776,0.000651722135818009,4.634591215540808e-08,2.772843347390464e-08,5.4007495743031434e-08,0,0,0,1.0315943278971835,1.9874686682466776,0
20,13,1.0315801250519208,1.98747468231902,0.000651722135566289,1.8460087733603026e-09,2.372881641366951e-09,3.0063791635885726e-09,0,0,0,1.0315801250519208,1.98747468231902,0
