eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-4.651149969347441626e+00,5.754999999999999005e-01,-1.146966758284845983e-01,-1.268386618285418654e-01,2.400000000000000000e+01,1.000000000000000000e+00,6.587729870637714091e-01,3.311653054056337003e-02,3.412281470209686529e-01,1.819590427274635713e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-1.451106830156765060e-01,-1.769076914396857658e-01,1.800000000000000000e+01,1.000000000000000000e+00,8.782855895422134740e-01,8.672441234632369267e-02,1.217212643811225459e-01,8.183288796799862430e-01
-1.395344990804232488e+01,3.364999999999999658e-01,-1.538162762119825444e-01,-1.817226490668986671e-01,1.400000000000000000e+01,1.000000000000000000e+00,9.151620720443505164e-01,7.611293975481611684e-02,8.484389854114467167e-02,2.327878405299327325e-01
-1.860459987738976650e+01,2.169999999999999707e-01,-1.606261889133969445e-01,-1.835476689782965520e-01,1.400000000000000000e+01,1.000000000000000000e+00,9.387133271344615393e-01,6.251694694760667748e-02,6.128990970422323187e-02,6.454049467078547264e-02
-2.325574984673720991e+01,9.749999999999992006e-02,-1.659187072316948286e-01,-1.849010665767307771e-01,1.300000000000000000e+01,1.000000000000000000e+00,9.568396597974573314e-01,5.177323404745065583e-02,4.316467704119142379e-02,1.806572257518262309e-02
-2.790689981608464976e+01,-2.200000000000001954e-02,-1.699019906142835712e-01,-1.860197851490507093e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.707550607505592843e-01,4.396030723101020804e-02,2.925491904772303461e-02,5.142747391551915487e-03
-3.255804978543208961e+01,-1.414999999999999591e-01,-1.727430502458223160e-01,-1.870109628508738187e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.812072556953044256e-01,3.891486644219903368e-02,1.881272320365736869e-02,1.500148174331157993e-03
-3.720919975477953301e+01,-2.610000000000000098e-01,-1.745707492890447299e-01,-1.879328577480406104e-01,7.000000000000000000e+00,1.000000000000000000e+00,9.887066064358355222e-01,3.644434056064397437e-02,1.133133228132485355e-02,4.514531032195486741e-04
-4.186034972412697641e+01,-3.804999999999999494e-01,-1.755244624783004470e-01,-1.888108495679248766e-01,5.000000000000000000e+00,1.000000000000000000e+00,9.937024707760020448e-01,3.623781511733084604e-02,6.379619477659086331e-03,1.403427579017695070e-04
-4.651149969347441271e+01,-4.999999999999998890e-01,-1.757521986540041825e-01,-1.896527247971638575e-01,6.000000000000000000e+00,1.000000000000000000e+00,9.966197710231077256e-01,3.791284214523692880e-02,3.392789620450518441e-03,4.484203320555946561e-05
