eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-4.651149969347441626e+00,5.754999999999999005e-01,-1.147007157775975783e-01,-1.268447618931605181e-01,2.400000000000000000e+01,1.000000000000000000e+00,6.588006433363469139e-01,3.312214938068235026e-02,3.411982251093656493e-01,1.819751369841127620e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-1.451107828755219542e-01,-1.769089031097688391e-01,1.800000000000000000e+01,1.000000000000000000e+00,8.782891666605640024e-01,8.672744474132797199e-02,1.217164377468128444e-01,8.183517498475399998e-01
-1.395344990804232488e+01,3.364999999999999658e-01,-1.538162808913051682e-01,-1.817229094902391984e-01,1.400000000000000000e+01,1.000000000000000000e+00,9.151627950957887947e-01,7.611363728111698868e-02,8.484325405086073912e-02,2.327883638444688541e-01
-1.860459987738976650e+01,2.169999999999999707e-01,-1.606262635597916766e-01,-1.835478174165471599e-01,1.400000000000000000e+01,1.000000000000000000e+00,9.387139355843041599e-01,6.251714821041902403e-02,6.128966546145206418e-02,6.454055158622770683e-02
-2.325574984673720991e+01,9.749999999999992006e-02,-1.659187943475362303e-01,-1.849011920208022963e-01,1.300000000000000000e+01,1.000000000000000000e+00,9.568402395417304751e-01,5.177333858537402911e-02,4.316452907393555916e-02,1.806574141984326407e-02
-2.790689981608464976e+01,-2.200000000000001954e-02,-1.699022169174155550e-01,-1.860199121633487329e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.707560244024249219e-01,4.396003642673635553e-02,2.925500442941807860e-02,5.142738401614580131e-03
-3.255804978543208961e+01,-1.414999999999999591e-01,-1.727406560890289433e-01,-1.870110929965133340e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.812010807421690517e-01,3.892175132401412552e-02,1.880969288419311394e-02,1.500263186192821955e-03
-3.720919975477953301e+01,-2.610000000000000098e-01,-1.745707629462771859e-01,-1.879330006868510927e-01,7.000000000000000000e+00,1.000000000000000000e+00,9.887070335420468092e-01,3.644469316830859645e-02,1.133126810810915035e-02,4.514541524745566939e-04
-4.186034972412697641e+01,-3.804999999999999494e-01,-1.755100477687799587e-01,-1.888101038129297859e-01,6.000000000000000000e+00,1.000000000000000000e+00,9.936611215283471799e-01,3.627509636193090165e-02,6.372680926515891277e-03,1.404161197945705904e-04
-4.651149969347441271e+01,-4.999999999999998890e-01,-1.757520660459047090e-01,-1.896528878745219748e-01,6.000000000000000000e+00,1.000000000000000000e+00,9.966198541261630517e-01,3.791364860939244741e-02,3.392738844647657116e-03,4.484234249570945508e-05
