epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.14610541e+00,9.22957242e-01,3.15857903e-02,6.40270596e-02,9.999901e-04,0.1
2,8.75233114e-01,7.20166266e-01,2.81655321e-02,5.70742483e-02,9.999606e-04,0.2
3,6.84096217e-01,5.98753870e-01,2.67745405e-02,5.20050275e-02,9.999113e-04,0.3
4,5.68507671e-01,5.09887338e-01,2.62453704e-02,4.72972655e-02,9.998423e-04,0.3
5,4.83803153e-01,4.50475127e-01,2.56829800e-02,4.34660176e-02,9.997535e-04,0.4
6,4.29399312e-01,4.08098847e-01,2.48437897e-02,4.10715495e-02,9.996451e-04,0.5
7,3.90129596e-01,3.73367429e-01,2.41783125e-02,3.96139937e-02,9.995170e-04,0.6
8,3.56847495e-01,3.45881224e-01,2.37652120e-02,3.84057959e-02,9.993691e-04,0.7
9,3.30253005e-01,3.21500719e-01,2.34488733e-02,3.68872962e-02,9.992016e-04,0.8
10,3.06751609e-01,2.98671305e-01,2.31338896e-02,3.51664109e-02,9.990144e-04,0.9
11,2.84886628e-01,2.78474569e-01,2.28106461e-02,3.36260033e-02,9.988074e-04,1.0
12,2.65951574e-01,2.59769619e-01,2.24893245e-02,3.23504833e-02,9.985809e-04,1.1
13,2.48144209e-01,2.43050903e-01,2.21579317e-02,3.14110445e-02,9.983346e-04,1.1
14,2.32097507e-01,2.27784112e-01,2.18234034e-02,3.05906051e-02,9.980687e-04,1.2
15,2.17515022e-01,2.13052779e-01,2.15111907e-02,2.97227669e-02,9.977832e-04,1.3
16,2.03576595e-01,1.99712619e-01,2.12014684e-02,2.89761402e-02,9.974780e-04,1.4
17,1.91221878e-01,1.87450960e-01,2.08373560e-02,2.83702474e-02,9.971532e-04,1.5
18,1.80006936e-01,1.75578013e-01,2.04064014e-02,2.77813244e-02,9.968088e-04,1.6
19,1.69335023e-01,1.64634898e-01,1.99652917e-02,2.71822551e-02,9.964449e-04,1.7
20,1.59711272e-01,1.54906020e-01,1.95558001e-02,2.65817706e-02,9.960613e-04,1.7
21,1.51062265e-01,1.46759853e-01,1.91685103e-02,2.61046502e-02,9.956582e-04,1.9
22,1.43717244e-01,1.38905048e-01,1.87320160e-02,2.57407383e-02,9.952355e-04,2.0
23,1.36881813e-01,1.31697893e-01,1.82824427e-02,2.54311150e-02,9.947933e-04,2.1
24,1.30329892e-01,1.25480756e-01,1.78850960e-02,2.50436158e-02,9.943315e-04,2.2
25,1.24399781e-01,1.19239017e-01,1.75152781e-02,2.45388576e-02,9.938503e-04,2.3
26,1.18787937e-01,1.13282673e-01,1.71626289e-02,2.40395532e-02,9.933496e-04,2.4
27,1.13432355e-01,1.07683465e-01,1.68109917e-02,2.35715819e-02,9.928295e-04,2.4
28,1.08589634e-01,1.02666765e-01,1.64660771e-02,2.31047407e-02,9.922899e-04,2.5
29,1.04131639e-01,9.81340036e-02,1.61539868e-02,2.27123849e-02,9.917309e-04,2.6
30,9.99947712e-02,9.39390361e-02,1.58785058e-02,2.24060831e-02,9.911525e-04,2.7
31,9.60338786e-02,9.00640041e-02,1.56058104e-02,2.20642070e-02,9.905547e-04,2.8
32,9.25410166e-02,8.62664655e-02,1.53250506e-02,2.17237681e-02,9.899376e-04,2.9
33,8.92820060e-02,8.27953666e-02,1.50554983e-02,2.14058787e-02,9.893012e-04,3.0
34,8.61885175e-02,8.03659633e-02,1.47736751e-02,2.11871563e-02,9.886454e-04,3.1
35,8.41611922e-02,7.89807886e-02,1.45639802e-02,2.10224533e-02,9.879704e-04,3.1
36,8.33640844e-02,7.78162703e-02,1.42313298e-02,2.11727287e-02,9.872762e-04,3.2
37,8.23181421e-02,7.19116479e-02,1.39692005e-02,2.03349818e-02,9.865627e-04,3.3
38,7.67936260e-02,6.74476847e-02,1.37013307e-02,1.98237409e-02,9.858301e-04,3.4
39,7.22883865e-02,6.75962567e-02,1.34728037e-02,1.98300328e-02,9.850782e-04,3.5
40,7.25401416e-02,6.47127405e-02,1.32651604e-02,1.94575758e-02,9.843073e-04,3.6
41,7.02660307e-02,6.04953431e-02,1.29530264e-02,1.90023025e-02,9.835172e-04,3.7
42,6.59356788e-02,5.98891340e-02,1.27244255e-02,1.88177637e-02,9.827081e-04,3.8
43,6.52827024e-02,5.79619892e-02,1.25326829e-02,1.85435103e-02,9.818800e-04,3.8
44,6.39535859e-02,5.47611862e-02,1.21842478e-02,1.82419753e-02,9.810328e-04,3.9
