epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.09325075e+00,9.60627198e-01,3.04557417e-02,6.77953613e-02,9.999901e-04,0.1
2,9.28555071e-01,8.53149474e-01,2.86745592e-02,6.36771959e-02,9.999606e-04,0.1
3,8.22595596e-01,7.69466758e-01,2.78840741e-02,6.03485304e-02,9.999113e-04,0.2
4,7.42771983e-01,7.07894862e-01,2.75131011e-02,5.76523507e-02,9.998423e-04,0.2
5,6.82869315e-01,6.63152218e-01,2.72258520e-02,5.54081728e-02,9.997535e-04,0.3
6,6.37755871e-01,6.26153052e-01,2.69547585e-02,5.31590134e-02,9.996451e-04,0.3
7,5.99925697e-01,5.93841970e-01,2.67880301e-02,5.09286302e-02,9.995170e-04,0.4
8,5.67114413e-01,5.64887881e-01,2.66476135e-02,4.89832498e-02,9.993691e-04,0.4
9,5.38263023e-01,5.37836492e-01,2.64274377e-02,4.74551863e-02,9.992016e-04,0.5
10,5.11447728e-01,5.12865365e-01,2.61268097e-02,4.62945735e-02,9.990144e-04,0.6
11,4.86493260e-01,4.89836276e-01,2.57973506e-02,4.53006943e-02,9.988074e-04,0.6
12,4.63645220e-01,4.67336863e-01,2.54780242e-02,4.42659182e-02,9.985809e-04,0.7
13,4.41598058e-01,4.45838392e-01,2.51804021e-02,4.32119610e-02,9.983346e-04,0.7
14,4.20759201e-01,4.26511496e-01,2.48975109e-02,4.22343996e-02,9.980687e-04,0.8
15,4.02067930e-01,4.08773631e-01,2.46150686e-02,4.13203959e-02,9.977832e-04,0.8
16,3.84825528e-01,3.91639352e-01,2.43230707e-02,4.04450365e-02,9.974780e-04,0.9
17,3.68160188e-01,3.75138432e-01,2.40136303e-02,3.96384107e-02,9.971532e-04,0.9
18,3.52232844e-01,3.59375805e-01,2.36867696e-02,3.88879421e-02,9.968088e-04,1.0
19,3.37079257e-01,3.44199479e-01,2.33617185e-02,3.81105047e-02,9.964449e-04,1.0
20,3.22391003e-01,3.29695642e-01,2.30524118e-02,3.72820104e-02,9.960613e-04,1.1
21,3.08267325e-01,3.16082120e-01,2.27359119e-02,3.64629539e-02,9.956582e-04,1.2
22,2.94951349e-01,3.03071260e-01,2.23789824e-02,3.56941027e-02,9.952355e-04,1.2
23,2.82222599e-01,2.90560126e-01,2.19831903e-02,3.49944810e-02,9.947933e-04,1.3
24,2.70032257e-01,2.78755963e-01,2.15657751e-02,3.43547126e-02,9.943315e-04,1.3
25,2.58569002e-01,2.67442793e-01,2.11461490e-02,3.37380489e-02,9.938503e-04,1.4
26,2.47609809e-01,2.56541967e-01,2.07467337e-02,3.31165856e-02,9.933496e-04,1.4
27,2.37104014e-01,2.46205494e-01,2.03798072e-02,3.24977463e-02,9.928295e-04,1.5
28,2.27169424e-01,2.36191899e-01,2.00468924e-02,3.18966550e-02,9.922899e-04,1.5
29,2.17524618e-01,2.26738796e-01,1.97495662e-02,3.13222390e-02,9.917309e-04,1.6
30,2.08416805e-01,2.17918113e-01,1.94818246e-02,3.07497699e-02,9.911525e-04,1.6
31,1.99927807e-01,2.09519967e-01,1.92398416e-02,3.01626759e-02,9.905547e-04,1.7
32,1.91855237e-01,2.01690182e-01,1.90007344e-02,2.96401013e-02,9.899376e-04,1.8
33,1.84264809e-01,1.94282696e-01,1.87736983e-02,2.91623648e-02,9.893012e-04,1.8
34,1.77057475e-01,1.87225893e-01,1.85664830e-02,2.86508847e-02,9.886454e-04,1.9
35,1.70248181e-01,1.80477992e-01,1.83574078e-02,2.81331848e-02,9.879704e-04,1.9
36,1.63824335e-01,1.74152523e-01,1.81126179e-02,2.76561519e-02,9.872762e-04,2.0
37,1.57793134e-01,1.68788865e-01,1.78911902e-02,2.73025819e-02,9.865627e-04,2.0
38,1.52778298e-01,1.66757420e-01,1.76551726e-02,2.73662676e-02,9.858301e-04,2.1
39,1.50972933e-01,1.66714758e-01,1.76258001e-02,2.75944385e-02,9.850782e-04,2.1
40,1.51654303e-01,1.57523081e-01,1.73151971e-02,2.67232426e-02,9.843073e-04,2.2
41,1.42464876e-01,1.48173258e-01,1.71849796e-02,2.57006029e-02,9.835172e-04,2.3
42,1.33575678e-01,1.49947569e-01,1.71413974e-02,2.62793698e-02,9.827081e-04,2.3
43,1.35448828e-01,1.38916418e-01,1.68744502e-02,2.49807881e-02,9.818800e-04,2.4
44,1.24826662e-01,1.38451681e-01,1.67478164e-02,2.51141268e-02,9.810328e-04,2.4
45,1.25000373e-01,1.31676137e-01,1.66156970e-02,2.44226699e-02,9.801667e-04,2.5
46,1.17955461e-01,1.29699528e-01,1.63982452e-02,2.45930011e-02,9.792816e-04,2.5
47,1.16452917e-01,1.24374963e-01,1.62108921e-02,2.38509569e-02,9.783777e-04,2.6
48,1.11483075e-01,1.21562921e-01,1.60906434e-02,2.37015785e-02,9.774548e-04,2.6
49,1.09120980e-01,1.17981896e-01,1.58451056e-02,2.35882015e-02,9.765132e-04,2.7
50,1.05592303e-01,1.14830002e-01,1.57024906e-02,2.33022916e-02,9.755527e-04,2.7
51,1.02551743e-01,1.12150304e-01,1.56377491e-02,2.28204136e-02,9.745735e-04,2.8
52,1.00186378e-01,1.08577803e-01,1.53715437e-02,2.27395237e-02,9.735756e-04,2.9
53,9.69337747e-02,1.06464416e-01,1.52424005e-02,2.26044016e-02,9.725590e-04,2.9
54,9.49256867e-02,1.03597358e-01,1.51796087e-02,2.22090481e-02,9.715238e-04,3.0
55,9.19902772e-02,1.01484425e-01,1.49610005e-02,2.19777304e-02,9.704699e-04,3.0
56,9.02747139e-02,9.83659625e-02,1.47667958e-02,2.18461660e-02,9.693976e-04,3.1
57,8.74373317e-02,9.67810079e-02,1.46737232e-02,2.17181339e-02,9.683067e-04,3.1
58,8.58146027e-02,9.44469869e-02,1.45809080e-02,2.13742379e-02,9.671973e-04,3.2
59,8.35072324e-02,9.22707766e-02,1.44619770e-02,2.11854622e-02,9.660695e-04,3.2
60,8.17285255e-02,9.01180506e-02,1.42130310e-02,2.11083065e-02,9.649234e-04,3.3
61,7.98154622e-02,8.83281678e-02,1.41115761e-02,2.09270769e-02,9.637589e-04,3.4
62,7.79399946e-02,8.69347602e-02,1.41064957e-02,2.05990694e-02,9.625761e-04,3.4
63,7.65160695e-02,8.45476016e-02,1.38004824e-02,2.05889059e-02,9.613750e-04,3.5
64,7.46878013e-02,8.30167681e-02,1.36910590e-02,2.04074713e-02,9.601558e-04,3.5
65,7.31833801e-02,8.17352086e-02,1.36349635e-02,2.01882082e-02,9.589184e-04,3.6
66,7.17424899e-02,7.97011703e-02,1.34987267e-02,1.99922057e-02,9.576630e-04,3.6
67,6.99377432e-02,7.84689784e-02,1.32853661e-02,1.99558083e-02,9.563894e-04,3.7
68,6.90284371e-02,7.66261742e-02,1.31787721e-02,1.97098818e-02,9.550979e-04,3.7
69,6.71759695e-02,7.59105086e-02,1.31947074e-02,1.95364987e-02,9.537885e-04,3.8
70,6.63496852e-02,7.40335211e-02,1.29204235e-02,1.94877874e-02,9.524611e-04,3.9
71,6.49293587e-02,7.29337782e-02,1.29225580e-02,1.92949843e-02,9.511159e-04,3.9
72,6.38521686e-02,7.21502006e-02,1.27478716e-02,1.91536338e-02,9.497529e-04,4.0
73,6.31134585e-02,7.15791211e-02,1.28512300e-02,1.90630884e-02,9.483722e-04,4.0
74,6.25232607e-02,7.12408274e-02,1.25517195e-02,1.91954554e-02,9.469738e-04,4.1
