epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
1,1.10651720e+00,1.03302312e+00,3.00813881e-02,6.50884931e-02,9.999901e-04,0.0
2,9.36398864e-01,9.31433380e-01,2.93640277e-02,6.18790662e-02,9.999606e-04,0.0
3,8.39710593e-01,8.47897053e-01,2.89796441e-02,5.89803016e-02,9.999113e-04,0.0
4,7.62674630e-01,7.82121301e-01,2.86854548e-02,5.66691599e-02,9.998423e-04,0.1
5,7.02258050e-01,7.29433835e-01,2.80641735e-02,5.46349553e-02,9.997535e-04,0.1
6,6.53633654e-01,6.86989784e-01,2.73088480e-02,5.27622556e-02,9.996451e-04,0.1
7,6.13922775e-01,6.52110159e-01,2.66658048e-02,5.10816271e-02,9.995170e-04,0.1
8,5.80625474e-01,6.21021450e-01,2.61673826e-02,4.95639675e-02,9.993691e-04,0.1
9,5.50880849e-01,5.91076076e-01,2.57275626e-02,4.81355972e-02,9.992016e-04,0.1
10,5.22534430e-01,5.62955916e-01,2.52959287e-02,4.68204483e-02,9.990144e-04,0.1
11,4.96232122e-01,5.37835062e-01,2.48713088e-02,4.56506139e-02,9.988074e-04,0.1
12,4.72949058e-01,5.15309453e-01,2.44599044e-02,4.45734466e-02,9.985809e-04,0.2
13,4.52051282e-01,4.94467318e-01,2.40695115e-02,4.35251601e-02,9.983346e-04,0.2
14,4.32640970e-01,4.74810809e-01,2.37138438e-02,4.24943263e-02,9.980687e-04,0.2
15,4.14384365e-01,4.55972522e-01,2.33986103e-02,4.15015552e-02,9.977832e-04,0.2
16,3.97013515e-01,4.37688470e-01,2.31121250e-02,4.05644391e-02,9.974780e-04,0.2
17,3.80282253e-01,4.20090616e-01,2.28413989e-02,3.96911900e-02,9.971532e-04,0.2
18,3.64270478e-01,4.03375864e-01,2.25856549e-02,3.88692224e-02,9.968088e-04,0.2
19,3.49082857e-01,3.87348443e-01,2.23444990e-02,3.80533318e-02,9.964449e-04,0.2
20,3.34457964e-01,3.71916354e-01,2.21063219e-02,3.72288601e-02,9.960613e-04,0.3
21,3.20319891e-01,3.57204527e-01,2.18530979e-02,3.64350527e-02,9.956582e-04,0.3
22,3.06840420e-01,3.43077451e-01,2.15772313e-02,3.57094109e-02,9.952355e-04,0.3
23,2.93942362e-01,3.29345971e-01,2.12917278e-02,3.50536173e-02,9.947933e-04,0.3
24,2.81456560e-01,3.16207916e-01,2.10180664e-02,3.44270749e-02,9.943315e-04,0.3
25,2.69485712e-01,3.03846627e-01,2.07638761e-02,3.37698863e-02,9.938503e-04,0.3
26,2.58151948e-01,2.92345524e-01,2.05182060e-02,3.30935165e-02,9.933496e-04,0.3
27,2.47620016e-01,2.81569511e-01,2.02574997e-02,3.24815855e-02,9.928295e-04,0.4
28,2.37810642e-01,2.71217555e-01,1.99691312e-02,3.19861278e-02,9.922899e-04,0.4
29,2.28428304e-01,2.61412412e-01,1.96849095e-02,3.15555198e-02,9.917309e-04,0.4
30,2.19577432e-01,2.52129495e-01,1.94274263e-02,3.10561246e-02,9.911525e-04,0.4
31,2.11196318e-01,2.43259162e-01,1.91852210e-02,3.04562729e-02,9.905547e-04,0.4
32,2.03165039e-01,2.34860912e-01,1.89593812e-02,2.98702608e-02,9.899376e-04,0.4
33,1.95581406e-01,2.26834565e-01,1.87444698e-02,2.93935919e-02,9.893012e-04,0.4
34,1.88385069e-01,2.19188020e-01,1.85398552e-02,2.89654795e-02,9.886454e-04,0.5
35,1.81599617e-01,2.11835220e-01,1.83544987e-02,2.84648380e-02,9.879704e-04,0.5
36,1.75059065e-01,2.04873309e-01,1.81737478e-02,2.79654270e-02,9.872762e-04,0.5
37,1.68854073e-01,1.98271111e-01,1.79984332e-02,2.75701007e-02,9.865627e-04,0.5
38,1.62974238e-01,1.92006320e-01,1.78159107e-02,2.72490573e-02,9.858301e-04,0.5
39,1.57408595e-01,1.86107084e-01,1.76398462e-02,2.68795796e-02,9.850782e-04,0.5
