phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.007483460916365476,-0.003088801884085102,0.001060649073003794,-0.003085086609517456
-2,-0.02731067792811635,-0.02364389968663262,-0.02145874608431169,-0.02343693859718094
-3,-0.06192220497036547,-0.0662788653823105,-0.0659568448718815,-0.06437012892393659
-4,-0.1079666903307231,-0.1063309748692763,-0.09962180675297472,-0.1001312896895959
-5,-0.1355576318871053,-0.1349216848303733,-0.123516153031586,-0.1224754457662718
-6.5,-0.1594981433550219,-0.1598528657633645,-0.1377145193184194,-0.1379336225985857
-8,-0.1717302207076256,-0.1715614642816319,-0.1427989098651135,-0.1438426515925513
-10,-0.1741329113819234,-0.177771289396383,-0.1491318453205951,-0.1479955169098091
-11.5,-0.1797507782306107,-0.1796883068906457,-0.1480183949925786,-0.1504654597613937
-13,-0.180369925053021,-0.180801474645424,-0.1547720844454233,-0.1527300765673838
