evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,5.376136689196203e-05,0.0001375824610201479,0.0013552024983244295,4.757687446499323e-05,0.5989119723588893,0.47691263661419225
2,5.3744760352898135e-05,0.00013545270053769729,0.001355240951418007,4.7577782883045896e-05,0.5988113214151777,0.4770052525521306
3,7.651634390432608e-05,0.0042400683862232735,0.0013686598889813748,4.763287583900303e-05,0.5879743603301548,0.48770684282558113
4,5.3726371710740117e-05,0.00010721240156511222,0.001356014955719738,4.758097369958693e-05,0.5981833353066751,0.4776253941192994
5,5.370804400972422e-05,4.849772628763943e-05,0.0013562775429521016,4.757438643958895e-05,0.5983660663144104,0.47745076656760377
6,5.369633463255506e-05,4.186325621938604e-05,0.0013570697879397907,4.756439258023869e-05,0.598394871208308,0.4774250518128991
7,5.364571173235909e-05,8.845555102006866e-05,0.0013619849675395113,4.750639246669765e-05,0.5982961030838889,0.47749721571495674
8,5.358674935151134e-05,0.00012222187742285266,0.001369734697002631,4.7415376339581676e-05,0.597854851167769,0.47774930034665514
9,5.350714645003454e-05,0.00011388631957757718,0.0013812370614870281,4.7257917224668645e-05,0.5965472885576089,0.4778074773140743
10,5.3330884195574985e-05,0.00011030532620898061,0.0014043807757797718,4.6851533077880086e-05,0.5920341420441732,0.4759149897955381
11,5.3048460469632596e-05,0.00012429861075086512,0.0014515709223180582,4.596850654527965e-05,0.5801247873762335,0.4688376177856427
12,5.297413138343147e-05,4.1753958363240436e-05,0.0014676264103393036,4.585774988938026e-05,0.5748344507978098,0.46549691312612707
