eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.415052863567949352e-03,-2.416552199464024921e-03,1.600000000000000000e+01,1.000000000000000000e+00,6.588954913515987846e-03,2.044673869361817810e-06,9.934195251068487220e-01,5.003190501071578256e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-2.220654326045084365e-02,-2.231925415696685289e-02,2.100000000000000000e+01,1.000000000000000000e+00,6.072070623413251128e-02,1.537060678009835590e-04,9.392876758465640297e-01,1.132209935008753554e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-8.657275688934418234e-02,-8.845925355920110367e-02,2.400000000000000000e+01,1.000000000000000000e+00,2.386945973899216589e-01,2.572652636137668942e-03,7.613136220893581552e-01,1.859002639538801516e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-1.631366557916591464e-01,-1.715939968017231032e-01,2.300000000000000000e+01,1.000000000000000000e+00,4.564787786536400049e-01,1.153344238127198065e-02,5.435117293222596624e-01,2.272853856872468103e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-2.189072284581947414e-01,-2.388528666614007090e-01,2.100000000000000000e+01,1.000000000000000000e+00,6.242564507242805982e-01,2.720025936055198504e-02,3.756999777214861114e-01,2.388436656289910864e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-2.519243448730484336e-01,-2.856378091456678869e-01,1.700000000000000000e+01,1.000000000000000000e+00,7.330840890002642274e-01,4.597571473098106820e-02,2.668577348294036145e-01,2.294238111176364558e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-2.697079061227534158e-01,-3.160756245961040545e-01,1.400000000000000000e+01,1.000000000000000000e+00,7.988445294335964064e-01,6.323257022828568386e-02,2.011059854580911910e-01,2.060762307960002371e+00
-7.441839950955905891e+00,5.038000000000000256e-01,-2.794519924397390054e-01,-3.350742892149242147e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.380415845603660374e-01,7.585322079448193755e-02,1.619064572474970543e-01,1.757096377547876953e+00
-8.372069944825394572e+00,4.798999999999999932e-01,-2.855858654583387501e-01,-3.466517600401671784e-01,1.200000000000000000e+01,1.000000000000000000e+00,8.621948927307210297e-01,8.327676225686689304e-02,1.377760719491299135e-01,1.443090503277128178e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-2.902164291794465112e-01,-3.537096863021723103e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.781347165576057767e-01,8.658700432592664198e-02,1.218662423411022155e-01,1.156671897929737014e+00
-1.023252993256437016e+01,4.320999999999999841e-01,-2.941909576066696341e-01,-3.581564991185839375e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.896190653488998956e-01,8.723106784231995925e-02,1.103860012847447530e-01,9.137472209476291685e-01
