eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-1.606262937479174731e-05,-1.606274948411255533e-05,6.000000000000000000e+00,1.000000000000000000e+00,5.695301481709726468e-05,2.129340779941453419e-10,9.999472094110816167e-01,5.070775971290492068e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.260910522319366538e-04,-1.261013174201761262e-04,8.000000000000000000e+00,1.000000000000000000e+00,4.470956071409745952e-04,1.819849099592171461e-08,9.995658672399769795e-01,1.286386869370766073e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-9.286107492202890683e-04,-9.294117692347619300e-04,1.300000000000000000e+01,1.000000000000000000e+00,3.293968438125995969e-03,1.420076785815952693e-06,9.967191168288250802e-01,3.254765684392940450e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-6.290248052119900429e-03,-6.342718587261326167e-03,1.800000000000000000e+01,1.000000000000000000e+00,2.239617280022060050e-02,9.302163185360763263e-05,9.776252593260449375e-01,7.987233441071726503e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-2.899695371300013008e-02,-3.073301087636089168e-02,2.200000000000000000e+01,1.000000000000000000e+00,1.058914067044437052e-01,3.077743916498846405e-03,8.941968226682811549e-01,1.693381903820720780e+01
-5.581379963216929418e+00,5.515999999999999792e-01,-6.546902578629351654e-02,-8.165397966673630659e-02,2.000000000000000000e+01,1.000000000000000000e+00,2.608248994137488674e-01,2.869326217802409262e-02,7.393123492197496427e-01,2.730349760397447412e+01
-6.511609957086417211e+00,5.276999999999999469e-01,-8.485409925790339536e-02,-1.389931020804729689e-01,1.800000000000000000e+01,1.000000000000000000e+00,3.968442840964872542e-01,9.597955073087159616e-02,6.031148863318160913e-01,3.485735879768762402e+01
-7.441839950955905891e+00,5.038000000000000256e-01,-8.353294546810871579e-02,-1.862682248368416615e-01,1.900000000000000000e+01,1.000000000000000000e+00,4.783131155444405591e-01,1.821327590819776243e-01,5.213909592056006348e-01,3.844227822195944100e+01
-8.372069944825394572e+00,4.798999999999999932e-01,-7.313787714282340979e-02,-2.198048310947715855e-01,1.800000000000000000e+01,1.000000000000000000e+00,5.193392574790443028e-01,2.600163950841177796e-01,4.802360173964853596e-01,3.893737699450919365e+01
-9.302299938694883252e+00,4.559999999999999609e-01,-6.084124972030047901e-02,-2.418686241772801115e-01,1.700000000000000000e+01,1.000000000000000000e+00,5.366548363239618258e-01,3.209317712650384125e-01,4.629185482165940058e-01,3.757727713978059114e+01
-1.023252993256437016e+01,4.320999999999999841e-01,-4.928452004760069255e-02,-2.558518232374927259e-01,1.500000000000000000e+01,1.000000000000000000e+00,5.409565675996366174e-01,3.662098657566772997e-01,4.586985002744198292e-01,3.531286874605565629e+01
-1.116275992643385884e+01,4.082000000000000073e-01,-3.920881721333561304e-02,-2.645860019256567330e-01,1.400000000000000000e+01,1.000000000000000000e+00,5.385782658555247071e-01,3.995566930660093274e-01,4.611708303902102291e-01,3.273952094396323531e+01
