eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.502927252749930325e-05,-2.502945966201336133e-05,6.000000000000000000e+00,1.000000000000000000e+00,8.874590175686592028e-05,3.317587256731175068e-10,9.999177398216285706e-01,5.070448323035954274e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-3.052703311605175834e-04,-3.052956745480791471e-04,1.000000000000000000e+01,1.000000000000000000e+00,1.082433141805556930e-03,4.492965930927502887e-08,9.989322868982413173e-01,1.284716799267328291e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-3.362668688849480576e-03,-3.365483779914194267e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.192790811676225360e-02,4.990693614051011127e-06,9.880832575527586092e-01,3.197319013744391203e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-2.558180000178414751e-02,-2.573994196111968613e-02,2.200000000000000000e+01,1.000000000000000000e+00,9.098501042711738818e-02,2.803596929642171399e-04,9.090520737485574543e-01,6.876378887984480492e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-8.138808553715529137e-02,-8.323006029243233683e-02,2.400000000000000000e+01,1.000000000000000000e+00,2.918409068348447599e-01,3.265518392507186281e-03,7.082155770159369590e-01,1.043267612386372889e+01
-5.581379963216929418e+00,5.515999999999999792e-01,-1.386052580913922361e-01,-1.454678313033386794e-01,2.300000000000000000e+01,1.000000000000000000e+00,5.036148815705675519e-01,1.216621399361547846e-02,4.963212614780760368e-01,1.224357110488929834e+01
-6.511609957086417211e+00,5.276999999999999469e-01,-1.783292057774729655e-01,-1.932544962699911384e-01,2.000000000000000000e+01,1.000000000000000000e+00,6.587568097312977988e-01,2.646008609900827452e-02,3.410327355770048641e-01,1.262627640134225793e+01
-7.441839950955905891e+00,5.038000000000000256e-01,-2.015536118363346618e-01,-2.258229356105594665e-01,1.700000000000000000e+01,1.000000000000000000e+00,7.576683514341286951e-01,4.302552080662063599e-02,2.420557059939787425e-01,1.200628898725253713e+01
-8.372069944825394572e+00,4.798999999999999932e-01,-2.140876836639374059e-01,-2.468000882528027240e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.170782426653789843e-01,5.799371492038089132e-02,1.826676752016876681e-01,1.071767274940820336e+01
-9.302299938694883252e+00,4.559999999999999609e-01,-2.210177639430244145e-01,-2.598158617851064611e-01,1.300000000000000000e+01,1.000000000000000000e+00,8.524389620719590166e-01,6.878264847802181836e-02,1.473573233758618262e-01,9.100604609291098157e+00
-1.023252993256437016e+01,4.320999999999999841e-01,-2.254163569314450166e-01,-2.677125839893838566e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.742365343722314774e-01,7.498425643221387493e-02,1.256342110631861186e-01,7.452868976090728736e+00
-1.116275992643385884e+01,4.082000000000000073e-01,-2.287415759693965378e-01,-2.725052167949726378e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.886281509928087852e-01,7.758573977714547376e-02,1.113012966499272310e-01,5.961514361035606058e+00
