eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.027377414143827335e-06,-2.027378859748418331e-06,5.000000000000000000e+00,1.000000000000000000e+00,7.188416210154524862e-06,2.562819260735972475e-12,9.999935963920180138e-01,5.071305309087038582e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-2.011559456457815369e-05,-2.011573442026852329e-05,4.000000000000000000e+00,1.000000000000000000e+00,7.132353164919644965e-05,2.479411446250762069e-10,9.999393027622222041e-01,1.287379563483459277e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-1.891558804223271255e-04,-1.891719593361346696e-04,9.000000000000000000e+00,1.000000000000000000e+00,6.707130570543245627e-04,2.850527056338074378e-08,9.993428402972664992e-01,3.272323723859732247e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-1.741777849532761971e-03,-1.743329114496968389e-03,1.500000000000000000e+01,1.000000000000000000e+00,6.178521642758422194e-03,2.750137730039622936e-06,9.938355162026221157e-01,8.262896336515046514e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.335239631762333463e-02,-1.345771433784084294e-02,2.000000000000000000e+01,1.000000000000000000e+00,4.752991820314199367e-02,1.867115339650716164e-04,9.525300893503515498e-01,1.941936350547175749e+01
-5.581379963216929418e+00,5.515999999999999792e-01,-5.317732209102182805e-02,-5.538033162466086956e-02,2.300000000000000000e+01,1.000000000000000000e+00,1.924548715124308751e-01,3.905573694947220287e-03,8.077444077552649038e-01,3.527147466558268718e+01
-6.511609957086417211e+00,5.276999999999999469e-01,-1.031904315337077299e-01,-1.156730501919869397e-01,2.200000000000000000e+01,1.000000000000000000e+00,3.880089686223275880e-01,2.212963054921611092e-02,6.120749687346395129e-01,4.791232444537380530e+01
-7.441839950955905891e+00,5.038000000000000256e-01,-1.358938060340890430e-01,-1.694411660745587800e-01,1.800000000000000000e+01,1.000000000000000000e+00,5.413087038462061074e-01,5.947395365673004836e-02,4.584229069038932569e-01,5.441283704735497651e+01
-8.372069944825394572e+00,4.798999999999999932e-01,-1.494228271974216982e-01,-2.092505780158078477e-01,1.800000000000000000e+01,1.000000000000000000e+00,6.358689760928943890e-01,1.060647656109654224e-01,3.635822196655935645e-01,5.501686760164292167e+01
-9.302299938694883252e+00,4.559999999999999609e-01,-1.519201375355614114e-01,-2.360441492361679550e-01,1.800000000000000000e+01,1.000000000000000000e+00,6.877968932307400030e-01,1.491380414811928901e-01,3.115830112363811022e-01,5.129103051494033139e+01
