evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,reason
1,0,0,0.0,-0.03298406327095788,1.0354130747236567e-16,0.0005439742149312798,0.00045657070414635245,-0.00045657070414635256,1,5,replay
1,0,1,0.0075,-0.06543862076277496,-0.049296767995945096,0.00013027970537300644,0.00019287371913358805,-0.00023344069593638503,1,18,replay
1,0,2,0.015,-0.09830304365679576,-0.09903303417265055,2.6644307661897063e-07,-7.573041194318484e-06,1.1213317175209678e-05,1,18,replay
1,0,3,0.0225,-0.13256191344900375,-0.14975855295902998,0.00014786220521889758,-0.00014809990440285684,0.00027473594103775566,1,18,replay
1,0,4,0.03,-0.16973066585520058,-0.2022856966114172,0.0005299150137691054,-0.0002176350983295953,0.0005282543361625783,1,18,replay
2,0,0,0.0,-0.03298406327095788,-2.103412453012722e-06,0.0005439048380540132,0.0004565627194577972,-0.00045655109235483854,1,5,replay
2,0,1,0.0075,-0.06543862076277496,-0.0492982714670007,0.0001302554376948003,0.0001928642875252147,-0.00023342391632207677,1,18,replay
2,0,2,0.015,-0.09830304365679576,-0.09903399119195766,2.6714214957962603e-07,-7.583292819346101e-06,1.122826447819979e-05,1,18,replay
2,0,3,0.0225,-0.13256191344900375,-0.14975894699865538,0.00014786898145392188,-0.00014810931924469638,0.00027474845941322383,1,18,replay
2,0,4,0.03,-0.16973066585520058,-0.20228552742964168,0.0005299095060655107,-0.00021764224595116735,0.0005282639089341821,1,18,replay
3,1,0,0.0,-0.03298406327095788,-0.10693087029649183,0.0027340651346357777,-0.007226672813606288,0.0019182682390158144,1,5,replay
3,1,1,0.0075,-0.06543862076277496,-0.12426279811131795,0.001730141920366419,-0.004187237097331446,0.0016191349716173481,1,18,replay
3,1,2,0.015,-0.09830304365679576,-0.14711425795445818,0.0011912673206061618,-0.0025291329088846784,0.0014704695908270406,1,18,replay
3,1,3,0.0225,-0.13256191344900375,-0.17227190357987476,0.0007884416580969365,-0.0014428238911092768,0.0012789477286378871,1,18,replay
3,1,4,0.03,-0.16973066585520058,-0.20109401041976085,0.0004918296911376662,-0.0007449034741216642,0.0010525291790138291,1,18,replay
4,1,0,0.0,-0.03298406327095788,-0.014891978067146872,0.00016366177351097863,0.0003559074218797379,-0.000296717027804558,1,5,replay
4,1,1,0.0075,-0.06543862076277496,-0.059384116074926656,1.832851350758853e-05,0.0001011090922727126,-0.00010418601968065246,1,18,replay
4,1,2,0.015,-0.09830304365679576,-0.10476571371910054,2.088305216710521e-05,-9.239668052592165e-05,0.00011885161486977528,1,18,replay
4,1,3,0.0225,-0.13256191344900375,-0.15105673812069678,0.00017102926981833256,-0.00021578248831410722,0.0003558347941758419,1,18,replay
4,1,4,0.03,-0.16973066585520058,-0.1992135811153672,0.00043462114611908254,-0.000261158324859684,0.0005793087165610844,1,18,replay
