evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,reason
1,0,0,0.0,0.14734608090041584,0.270259248018467,0.007553823325494988,0.0013295431689167316,0.0013295431689167244,1,20,replay
1,0,1,0.0075,0.15451928231110076,0.27212560296673,0.006915623329077342,0.0010896281071321207,0.0014502896145075826,1,20,replay
1,0,2,0.015,0.16563671495400806,0.2778267087589324,0.006293297354974481,0.000864131487157237,0.0015452520248655883,1,20,replay
1,0,3,0.0225,0.18111764396650465,0.28769617962770744,0.0056794921318431375,0.0006553792197523167,0.0016079885522107056,1,20,replay
1,0,4,0.03,0.20203544840391124,0.3024330161060394,0.005039835800251703,0.00046378327929945596,0.0016239586685051605,1,19,replay
2,0,0,0.0,0.14734608090041584,0.2701298097807636,0.0075379220388813745,0.001329293106768979,0.0013298522948838917,1,20,replay
2,0,1,0.0075,0.15451928231110076,0.2719915434193723,0.0068998660649449645,0.0010893159766982795,0.0014505582000298078,1,20,replay
2,0,2,0.015,0.16563671495400806,0.2776886272614576,0.006277815525878181,0.0008637869183174066,0.0015454526194919832,1,20,replay
2,0,3,0.0225,0.18111764396650465,0.28755500185302973,0.005664455576932112,0.0006550313287348392,0.0016080979578481866,1,20,replay
2,0,4,0.03,0.20203544840391124,0.3022903477540119,0.005025522421849409,0.0004634592141919392,0.0016239565257562128,1,19,replay
3,1,0,0.0,0.14734608090041584,0.09100398906328305,0.0015872156562919528,-0.0015946746798665438,-0.004842767311930376,1,20,replay
3,1,1,0.0075,0.15451928231110076,0.07209068410273528,0.0033972369012980766,-0.001966535123625614,-0.010242022420533816,1,20,replay
3,1,2,0.015,0.16563671495400806,0.053311266312742585,0.006308503206230784,-0.0020906346805727332,-0.021023957905928026,1,20,replay
3,1,3,0.0225,0.18111764396650465,0.03283981158436931,0.010993157787972309,-0.0017522959867262533,-0.04787521778441222,1,20,replay
3,1,4,0.03,0.20203544840391124,-0.009997403799566809,0.022478965206770986,0.0006984483171245828,-0.35743640039805996,1,19,replay
4,1,0,0.0,0.14734608090041584,0.2108084656893155,0.002013737141547181,0.0010147744424840756,0.001265393113071178,1,20,replay
4,1,1,0.0075,0.15451928231110076,0.20998129541075658,0.0015380174485331967,0.0007566452078307482,0.0012889785044284503,1,20,replay
4,1,2,0.015,0.16563671495400806,0.21322876882430172,0.001132501795796467,0.0005349706746216836,0.0012603374937088013,1,20,replay
4,1,3,0.0225,0.18111764396650465,0.2210612009209419,0.0007977438710861859,0.0003521318309173269,0.001179640561867724,1,20,replay
4,1,4,0.03,0.20203544840391124,0.23456530531598102,0.0005290957953598669,0.00020771793439276968,0.0010451465094046084,1,19,replay
