evaluation,iteration,point_index,phi_applied,target_observable,simulated_observable,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason
1,0,0,0.0,0.1473729091093624,0.18746603978201662,0.1473729091093624,0.18746603978201662,0.000803729563567263,0.0009290070138775386,0.000813803807220331,1,22,0.00011117563413342568,2.0843973193185317e-05,1,replay
1,0,1,0.02,0.1754453343498586,0.20658696691491268,0.1754453343498586,0.20658696691491268,0.00048490063940841865,0.0004073980885606349,0.0008733974762850757,1,22,0.00010333219274789006,2.1349290353439576e-05,1,replay
1,0,2,0.04,0.24334740188168927,0.26514942775199957,0.24334740188168927,0.26514942775199957,0.00023766416602483977,8.829437686169659e-05,0.0006877244662355606,1,21,0.00011594996543761715,3.074763217053578e-05,1,replay
2,0,0,0.0,0.1473729091093624,0.1873847937263961,0.1473729091093624,0.1873847937263961,0.0008004754553034089,0.000927677734190223,0.0008127720824635246,1,22,0.00011122748193686418,2.0844657258184407e-05,1,replay
2,0,1,0.02,0.1754453343498586,0.20650168940735666,0.1754453343498586,0.20650168940735666,0.00048224859472869295,0.0004064974254593988,0.0008717225992387593,1,22,0.00010338204482534018,2.1350774197514966e-05,1,replay
2,0,2,0.04,0.24334740188168927,0.2650687122687088,0.24334740188168927,0.2650687122687088,0.00023590766246462167,8.798638913722016e-05,0.0006857323050988274,1,21,0.0001159991049384134,3.075130049368102e-05,1,replay
3,1,0,0.0,0.1473729091093624,0.1343278148902497,0.1473729091093624,0.1343278148902497,8.508724159276388e-05,-0.00044654553188799476,-0.00042963753490465634,1,22,0.00014236607046203353,1.912644611665182e-05,1,replay
3,1,1,0.02,0.1754453343498586,0.15069556101779602,0.1754453343498586,0.15069556101779602,0.0003062756399942379,-0.0004521404919110394,-0.0011892906209117762,1,22,0.0001350527536599247,2.0354599424482478e-05,1,replay
3,1,2,0.04,0.24334740188168927,0.2133181935323675,0.24334740188168927,0.2133181935323675,0.00045087667704348807,-0.00012643159003534633,-0.0015680819326041881,1,21,0.00014797186631429894,3.156976265247802e-05,1,replay
4,1,0,0.0,0.1473729091093624,0.16577680922241658,0.1473729091093624,0.16577680922241658,0.0001693517696856378,0.0005021873648358338,0.00045493995285703456,1,22,0.0001249487783569334,2.071619825591564e-05,1,replay
4,1,1,0.02,0.1754453343498586,0.18408999305252255,0.1754453343498586,0.18408999305252255,3.736506204277182e-05,0.00013041101845430377,0.0003004408591955156,1,22,0.0001166882630578355,2.148364842524675e-05,1,replay
4,1,2,0.04,0.24334740188168927,0.24419217439924068,0.24334740188168927,0.24419217439924068,3.568203032050754e-07,3.5936032942722123e-06,3.278839547299282e-05,1,21,0.00012909380435792387,3.152776682699421e-05,1,replay
