evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.0014954592365230346,0.026542284852406655,0.004999999999999999,0.0004999999999999999,0.4,0.3
2,0.0009450206301844237,0.015359738615369472,0.005043868038088132,0.0004934548221749404,0.4171330078820016,0.28092613175171866
3,0.0005971046272239246,0.004343350191565924,0.005050946199458201,0.00048325856317240956,0.4379145113506918,0.25109385049706395
4,0.0005401366652925738,0.002832247634438323,0.0049812466049139964,0.0004779137213000696,0.441558559444482,0.2354222907306261
5,0.00047678642605358075,0.0034416824688457276,0.004794622477104715,0.00046977155230025226,0.43861059627129184,0.21153080817292164
6,0.00036040223811008667,0.0045991742320022,0.00432292231013851,0.00045275027159154843,0.4207641278731642,0.16130760441151393
7,0.0002266050984561105,0.0037298459331286684,0.0036285128479622846,0.0004284279232102707,0.3806040188977228,0.09230620549398548
8,0.00017365599890762252,0.0009252256572913125,0.003295605468982859,0.00041125411422573516,0.35695845074621463,0.07935691888103787
9,0.00016966736265133585,0.00032975804089001813,0.0032655032930284634,0.00040766396917662015,0.3551488783262371,0.08657666102843396
10,0.00016905191238547254,0.0004021569345711696,0.003266796015264095,0.0004063739849520892,0.35639898174571644,0.08955077260915692
11,0.0001650092478074169,0.0007860946778103535,0.0032350282687483977,0.00039361245493205334,0.3653333910513712,0.10628736814437804
12,0.00015681157717079664,0.0012680251799962146,0.0031112230570964627,0.00036280666709081,0.38415101693171233,0.13620918746720362
13,0.00013569953129793596,0.0019900981599673224,0.0027149368081853167,0.0002842809705388899,0.4344626134986751,0.20844733502400561
14,9.904625767539365e-05,0.0023301646326468867,0.0020369880465581866,0.0001768430310032265,0.5249686332172423,0.32800640736178605
15,5.3905346905200644e-05,0.0019281455651372853,0.001302201339730902,8.801485150993801e-05,0.636298041612857,0.468796291148628
16,4.074077890452086e-05,0.0005510808727732889,0.0010479950732186132,5.71946767705443e-05,0.7049712981776911,0.5496535949615156
17,3.5610799126653e-05,0.000115486240608756,0.001007965491518512,5.614528071647657e-05,0.6948192654746104,0.5374861887588671
18,3.493395360671979e-05,9.373241082459433e-05,0.0010227090817345995,5.744780367506358e-05,0.6846149339043666,0.5250780764787559
19,3.393513200475646e-05,0.00012740110932494658,0.0010497288797581515,5.7478266199921075e-05,0.6739514319798493,0.5166655146146791
20,3.088258220157291e-05,0.00021752464126020273,0.0011489921299567584,5.325627861907929e-05,0.6398317658825888,0.501452560413593
21,2.966581228888055e-05,9.87819874276536e-05,0.001152476984220168,4.527001043130839e-05,0.6367479826353266,0.5200129785028218
22,2.9552075550732053e-05,6.722777686884056e-05,0.0012689053507132617,4.7828742642295916e-05,0.6148644897747743,0.5037343249716744
23,2.9336438200909957e-05,3.9969104948729635e-05,0.0011982457204330129,4.540496356081649e-05,0.6299626137646857,0.5190439912550404
24,2.9330066425593425e-05,3.8003717657454365e-06,0.001200279237310904,4.5880285758523514e-05,0.6297035587688262,0.5173645186018533
25,2.9330094732959675e-05,1.4954217614570815e-07,0.0012006808082431672,4.586263538716517e-05,0.6296149240344644,0.5173946176164282
26,2.933051872765629e-05,3.043230889090837e-06,0.0012003707427849797,4.58762626731504e-05,0.6296833590725438,0.5173713781130505
27,2.9330530146803046e-05,3.8326653500097295e-06,0.0012002801587492247,4.5880245243725245e-05,0.6297033553550223,0.517364587678103
28,2.9330311656886566e-05,3.7954954908909222e-06,0.001200279237406393,4.5880285754324995e-05,0.6297035587477464,0.5173645186090117
29,2.9330311639994225e-05,3.7955023607855417e-06,0.001200279237358648,4.5880285756424255e-05,0.6297035587582863,0.5173645186054324
30,2.9330311631547572e-05,3.795505796415922e-06,0.001200279237334776,4.588028575747384e-05,0.6297035587635563,0.5173645186036429
31,2.9330311627324767e-05,3.795507513268972e-06,0.00120027923732284,4.5880285757998726e-05,0.6297035587661912,0.5173645186027481
32,2.933031162521295e-05,3.7955083721021782e-06,0.0012002792373168726,4.5880285758261076e-05,0.6297035587675087,0.5173645186023007
33,2.93303116241575e-05,3.795508801283003e-06,0.0012002792373138878,4.588028575839234e-05,0.6297035587681675,0.517364518602077
34,2.9330346182013664e-05,2.9324359552281604e-06,0.0012002779848373864,4.588035819952902e-05,0.6297010256609166,0.5173672298037113
35,2.933048105829091e-05,3.824351620008534e-06,0.0012002792269388593,4.588028635842473e-05,0.6297035377915398,0.5173645410539793
36,2.9330457096103805e-05,3.7998255182443165e-06,0.0012002792373104058,4.588028575855232e-05,0.6297035587678179,0.5173645186029324
37,2.9330457095226753e-05,3.7998263017117034e-06,0.001200279237310655,4.588028575853797e-05,0.6297035587683221,0.5173645186023929
