evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.0009571950604802344,0.01257218254175728,0.0027943784729310894,4.5880285758523514e-05,0.6297035587688262,0.5173645186018533
2,0.0008049474059355434,0.011615276146216734,0.0027641536737523457,4.607163288150853e-05,0.6197863655806005,0.523207026307234
3,0.0010312992269358218,0.024943905640017784,0.0023605099053390466,4.841888439528772e-05,0.4975615978958242,0.5847461750631319
4,0.00027327589011661097,0.002315548649037801,0.002562420928416589,4.718392178623476e-05,0.5611101690299242,0.5527500007498202
5,0.00023554891703539513,0.0024044001213319325,0.00247849055001461,4.7128692817408905e-05,0.5489083132657742,0.5458057733085125
6,0.00012104007680987506,0.0031695748023789264,0.0021743291343423233,4.6384838755072634e-05,0.5138583907678982,0.4993543394182436
7,5.236219166273936e-05,0.0013498334440463578,0.0018953635629728903,4.5339954734173e-05,0.4874793229881572,0.43964888178869704
8,4.720373012795955e-05,0.0003335858473658578,0.001862887635207075,4.529350450659111e-05,0.4906927899128528,0.43262068324255615
9,4.659069076205418e-05,0.00017810098779902248,0.001852955098592233,4.5329953573238905e-05,0.49324945929290287,0.4314328787362569
10,4.636774147056223e-05,0.0002442974793166492,0.0018462084790575952,4.5380590532010474e-05,0.49461137508840103,0.4314663364300945
11,4.5168264345485184e-05,0.0005560034053443076,0.001803668317755506,4.5749685340931885e-05,0.5026421603273686,0.4331193283958193
12,4.3065716852053624e-05,0.0008725703254078586,0.001725395850059192,4.652944242983247e-05,0.5175070355291723,0.43829965680443206
13,3.842979112485296e-05,0.001174708810724627,0.0015495144940324125,4.856447466323696e-05,0.55263190198945,0.45350690628667023
14,3.3043975043937736e-05,0.0010212699955874647,0.0013424483091221042,5.1525494697570206e-05,0.5985463583288742,0.4769760046031066
15,3.0230742836411076e-05,0.0003747405453019716,0.00123417132738313,5.3248278057016894e-05,0.6244197131414571,0.49411679200527714
16,2.9831449971037535e-05,5.826817122739948e-05,0.0012458333263438187,5.305514183442843e-05,0.6214470836734891,0.49523231647533816
17,2.9799714315425302e-05,1.5414892087980213e-05,0.0012607341690404538,5.277880239152195e-05,0.6173018166495073,0.49358640414215865
18,2.979713446651804e-05,1.547786848917186e-05,0.0012622592370180091,5.272658697126604e-05,0.616855857922305,0.49340129790000486
19,2.969633374225849e-05,1.615090722535814e-05,0.0012668425315575337,5.159445175941784e-05,0.6161068094323217,0.49584021362365766
20,2.949419161138047e-05,4.513720889253417e-05,0.0012324910164000903,4.595930385850771e-05,0.6181875186874998,0.5083544133303106
21,2.935237037282232e-05,2.2830956584152127e-05,0.0012181425161586076,4.57325812203112e-05,0.6255365783329032,0.5156049948410184
22,2.9332907488042065e-05,1.0450517815840062e-05,0.0012070427772659417,4.598262972339838e-05,0.62825897811524,0.5162959251694857
23,2.9330320598494406e-05,4.767778671048377e-07,0.001200971065280496,4.5893407863918796e-05,0.6295742309538644,0.5173072529860014
