phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002701209172181277,-0.002037117351984403,-0.002697755399322229
-2,-0.02340628769495274,-0.02245277706256188,-0.02094170364994419,-0.02222808248900889
-3,-0.06477056956628323,-0.0657419038096959,-0.06333339791782359,-0.06349792068311756
-4,-0.1069978687145439,-0.1067310621520896,-0.1025324149083589,-0.09933085608809898
-5,-0.1375463225152408,-0.1357746720071923,-0.1190684518165829,-0.1210564571573813
-6,-0.1535713093831789,-0.1543525329201139,-0.131373497521937,-0.1322792297566172
-7,-0.1621867293734878,-0.1655843109678417,-0.139417062760819,-0.1379132448610009
-8,-0.1696244956881482,-0.1721201330511961,-0.1403411774956293,-0.1411421350510748
-9,-0.1777534819190489,-0.1758605188553026,-0.143362447225946,-0.1434502265132564
-10,-0.1814173452222933,-0.1780323583116308,-0.1456811764319968,-0.1454034874950912
