voltage,d_total_d_k0_1,d_total_d_k0_2,d_total_d_alpha_1,d_total_d_alpha_2,d_peroxide_d_k0_1,d_peroxide_d_k0_2,d_peroxide_d_alpha_1,d_peroxide_d_alpha_2
5.0,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.2596906602920232,6.36426675248991e-12,0.0003280303109058722,0.0,-0.2596906602920232,6.36426675248991e-12,0.0003280303109058722,0.0
-0.5,0.5353022481467846,0.002904826236228277,0.0003380856123703923,7.644279632033901e-08,0.5353022481467846,0.002904826236228277,0.0003380856123703923,7.644279632033901e-08
-1.0,3.1741117927203217,0.10119717965980343,0.004009390264063384,5.3261665043657916e-06,3.1741117927203217,0.10119717965980343,0.004009390264063384,5.3261665043657916e-06
-2.0,nan,nan,nan,nan,nan,nan,nan,nan
-3.0,nan,nan,nan,nan,nan,nan,nan,nan
-4.0,nan,nan,nan,nan,nan,nan,nan,nan
-5.0,nan,nan,nan,nan,nan,nan,nan,nan
-6.5,nan,nan,nan,nan,nan,nan,nan,nan
-8.0,nan,nan,nan,nan,nan,nan,nan,nan
-10.0,nan,nan,nan,nan,nan,nan,nan,nan
-13.0,nan,nan,nan,nan,nan,nan,nan,nan
-17.0,nan,nan,nan,nan,nan,nan,nan,nan
-22.0,nan,nan,nan,nan,nan,nan,nan,nan
-28.0,nan,nan,nan,nan,nan,nan,nan,nan
-35.0,nan,nan,nan,nan,nan,nan,nan,nan
-41.0,nan,nan,nan,nan,nan,nan,nan,nan
-46.5,nan,nan,nan,nan,nan,nan,nan,nan
-50.0,nan,nan,nan,nan,nan,nan,nan,nan
-55.0,nan,nan,nan,nan,nan,nan,nan,nan
-60.0,nan,nan,nan,nan,nan,nan,nan,nan
