voltage,factor_0.5_total,factor_0.5_peroxide,factor_0.75_total,factor_0.75_peroxide,factor_1.0_total,factor_1.0_peroxide,factor_1.5_total,factor_1.5_peroxide,factor_2.0_total,factor_2.0_peroxide
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.00016413427185561639,-0.00016413427185561639,-0.00024617163042145603,-0.00024617163042145603,-0.0003281891352325227,-0.0003281891352325227,-0.0004921647248987963,-0.0004921647248987963,-0.0006560607347314173,-0.0006560607347314173
-0.5,0.0003514197135544291,0.0003514197135544291,0.0005237294652672752,0.0005237294652672752,0.0006938475670028616,0.0006938475670028616,0.0010277343352471909,0.0010277343352471909,0.0013534949783284257,0.0013534949783284257
-1.0,0.002913992918101288,0.002913992918101288,0.004086582905915572,0.004086582905915572,0.005139161398939574,0.005139161398939574,0.00698226679724066,0.00698226679724066,0.008571987244600496,0.008571987244600496
-2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.12031294021604531,0.12031294021604531
-3.0,nan,nan,nan,nan,nan,nan,0.17119249545915918,0.17119249545915918,0.17049691959814034,0.17049691959814034
-4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-46.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
